Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
DuPont_Ratio,1,1,2,1,5,1,2,9,1,1,2,1,8,2,2,1,1,1,6,1,7,1,1,1,1,1,2.4,2.4664414311581235
P_to_B,2,2,1,3,2,2,1,1,2,3,3,3,1,1,5,2,2,2,1,2,2,2,2,2,2,2,2.04,0.8888194417315589
Net_profit_to_Gross_profit,6,4,4,2,3,4,3,3,7,6,9,7,2,8,4,4,7,9,3,5,3,8,4,5,3,3,4.92,2.15870331449229
Capital,3,8,3,5,7,7,4,2,10,4,1,10,6,9,3,5,9,10,2,6,8,7,7,3,9,3,5.92,2.8124722220850464
Operating_cash_flow_to_sales,30,7,15,6,13,3,37,8,12,11,26,14,7,6,14,17,3,13,4,3,11,5,27,4,8,3,12.16,9.10439454329611
Operating_profit_to_sale,8,5,5,7,4,5,5,4,8,7,6,5,3,5,1,6,8,8,5,9,4,9,3,7,6,5,5.72,2.01080415091409
Net_profit_to_sale,4,3,7,4,1,6,7,5,6,2,5,2,5,7,6,3,6,5,7,8,1,6,5,6,4,6,4.84,1.9510680835549197
Current_ratio,9,21,11,9,8,13,9,13,3,9,4,8,17,4,12,8,5,4,12,4,17,3,8,8,14,8,9.32,4.749736834815167
Stock_market_value,12,9,16,11,10,9,13,7,14,10,13,12,10,11,9,9,12,12,13,11,6,11,13,9,10,9,10.88,2.223360819420306
Quick_Ratio,10,16,10,10,6,14,6,10,4,5,8,6,4,3,15,11,4,7,9,16,14,4,10,10,16,10,9.12,4.216238449929826
Net_working_capital,11,12,13,8,9,8,11,6,9,13,7,11,9,10,7,10,10,11,8,10,5,10,12,15,11,10,9.84,2.32163735324878
Equity_Ratio,7,10,6,12,11,10,19,17,13,12,11,4,11,14,11,12,16,3,15,13,12,12,9,12,5,12,11.08,3.872122587591118
Debt_to_equity_ratio,15,11,8,13,14,12,17,14,5,14,12,17,12,16,13,14,18,6,17,7,9,13,11,14,7,14,12.36,3.6386810797320503
Liquidity_ratios,17,19,14,14,15,15,14,18,15,15,15,15,18,15,22,15,17,15,19,17,19,19,14,23,28,15,17.08,3.365511352924941
Fixed_asset_turnover,40,15,20,15,32,11,10,23,24,22,20,24,16,12,17,27,15,14,20,21,13,14,26,26,19,15,19.84,7.0040464494937975
Cost_to_sales_ratio,28,6,12,18,18,16,16,12,17,17,17,19,22,30,10,18,40,18,10,15,10,22,16,16,12,16,17.4,7.14142842854285
Gross_profit_margin,18,25,9,22,26,39,8,31,40,35,24,31,21,28,16,16,14,24,18,28,33,16,18,31,17,16,23.52,8.670447893082956
Return_from_market,14,18,17,20,21,17,26,21,22,30,27,29,27,13,34,13,26,17,14,33,15,15,32,17,18,17,21.44,6.702487100571945
Current_assets_ratio,24,13,28,17,30,21,20,28,26,23,18,18,19,18,18,7,28,44,11,24,25,29,21,13,29,18,22.08,7.637189710008955
Longterm_debt_to_equity_ratio,5,24,30,19,19,28,15,26,11,8,10,9,14,19,26,19,27,19,30,12,16,26,6,11,13,19,17.68,7.760584170451775
Net_profit_margin,13,23,38,23,20,18,43,25,30,19,21,16,34,17,27,39,13,25,21,20,32,20,15,36,15,20,24.12,8.618391187841654
Profit_margin_before_interest_and_taxes,20,33,37,33,35,30,41,38,21,20,33,23,39,20,37,45,23,39,24,31,41,38,41,45,23,20,32.4,8.351646544245032
Current_debt_to_total_debt_Ratio,35,20,39,41,31,35,42,19,33,28,43,33,29,32,28,42,34,20,32,45,40,39,25,20,36,20,32.84,7.765736711134796
Sale_to_current_assets,21,14,21,25,33,20,12,16,29,25,38,21,13,33,8,20,11,28,23,36,18,21,17,19,26,21,21.92,7.836453279386026
ROE,22,27,27,21,23,37,18,20,20,18,31,27,25,21,23,21,20,26,16,22,21,25,36,27,21,21,23.8,5.172040216394301
Profit_margin_growth_rate,23,17,31,16,17,22,21,11,18,24,19,22,26,39,24,34,19,22,22,14,24,18,20,18,20,22,21.64,6.075085733277075
P_to_E,33,30,22,35,12,34,24,33,23,16,45,20,20,26,19,33,24,38,26,18,28,23,23,21,32,23,26.32,7.657893531078461
ROA,29,32,23,24,24,25,36,42,16,21,42,13,36,23,41,25,25,29,45,19,23,28,22,38,27,23,28.32,8.571853164086905
Sales_growth_rate,27,34,24,32,27,24,25,35,19,29,16,26,40,25,31,23,21,21,34,23,39,24,19,22,35,24,27.0,6.4485140407177015
EPS,16,41,32,29,38,32,22,22,38,33,25,42,24,37,25,37,36,42,25,34,34,34,24,43,33,25,31.92,7.342342950312251
Net_return_on_working_capital,25,38,29,26,28,38,30,27,25,26,28,34,30,24,32,24,29,27,28,39,27,27,29,35,31,27,29.44,4.340506882842141
Cash_flow_returns_to_sales,19,31,18,27,16,23,33,15,41,27,30,28,23,35,30,43,22,16,31,40,35,17,39,30,24,30,27.72,8.349251463454673
DPS,32,40,19,28,25,31,27,32,37,45,14,32,28,34,29,26,35,30,29,25,36,30,34,24,22,32,29.76,6.584577941422416
Total_asset_turnover,37,26,35,38,34,19,29,34,28,34,22,36,33,27,36,29,31,23,33,35,26,33,28,25,30,33,30.44,5.0668859601665925
ROI,43,35,33,42,43,26,34,45,35,39,34,25,37,29,35,36,32,36,35,26,30,43,30,37,40,35,35.2,5.605057240266746
P_to_S,38,28,34,34,36,27,28,30,34,36,37,35,15,36,33,31,41,32,36,32,20,41,31,33,25,36,32.12,5.967411499134277
Average_payment_period,39,36,40,39,37,29,39,37,39,38,39,40,35,31,38,40,38,31,39,27,37,37,37,40,41,39,36.92,3.65057073163453
Operating_assets_Ratio,44,44,36,30,40,40,31,29,42,42,41,39,31,22,43,30,44,35,37,38,38,42,40,42,38,42,37.52,5.738176249181151
Cash_to_total_assets_ratio,42,43,43,45,41,45,45,43,31,37,23,30,42,42,21,38,42,40,41,37,22,32,33,44,39,42,37.64,7.325071103181639
Debt_to_total_assets_ratio,26,29,45,40,42,41,40,40,36,32,35,38,43,38,45,35,30,45,38,42,42,44,43,34,42,42,38.6,5.291502622129181
Operating_profit_margin,36,42,25,44,39,44,23,24,45,41,40,44,32,44,20,22,45,37,27,30,31,36,44,39,37,44,35.64,8.21522975941635
Return_ratio_without_risk,45,22,26,37,29,43,32,39,32,31,44,41,44,43,39,44,33,41,44,41,43,35,42,32,34,44,37.44,6.436096125240311
Total_income_growth,41,39,41,43,44,36,38,44,44,43,32,43,41,41,44,32,39,34,40,43,44,31,38,29,45,44,39.56,4.708856903042747
EPS_growth,31,45,44,36,45,42,44,41,43,44,36,37,38,40,42,28,43,43,43,44,45,40,35,28,44,44,40.04,5.159780357082396
Working_capital_return,34,37,42,31,22,33,35,36,27,40,29,45,45,45,40,41,37,33,42,29,29,45,45,41,43,45,37.04,6.6299824031943455
