Features,r_dicho_MinMax,r_dicho_Standard,b_dicho_MinMax,b_dicho_Standard
Return_from_market,1,1,18,18
ROI,2,2,35,35
ROA,3,3,28,28
Sales_growth_rate,4,4,29,29
Operating_assets_Ratio,5,5,38,38
P_to_B,6,6,2,2
ROE,7,7,25,25
Cash_to_total_assets_ratio,8,8,39,39
P_to_S,9,9,36,36
Net_profit_margin,10,10,21,21
EPS,11,11,30,30
Operating_profit_margin,12,12,41,41
DPS,13,13,33,33
DuPont_Ratio,14,14,1,1
Profit_margin_before_interest_and_taxes,15,15,22,22
Gross_profit_margin,16,16,17,17
Equity_Ratio,17,17,12,12
Sale_to_current_assets,18,18,24,24
EPS_growth,19,19,44,44
Stock_market_value,20,20,9,9
Debt_to_equity_ratio,21,22,13,13
Fixed_asset_turnover,22,21,15,15
Total_income_growth,23,23,43,43
Current_assets_ratio,24,24,19,19
Net_profit_to_sale,25,27,7,7
Profit_margin_growth_rate,26,25,26,26
Operating_profit_to_sale,27,26,6,6
Net_profit_to_Gross_profit,28,28,3,3
Return_ratio_without_risk,29,29,42,42
Current_ratio,30,30,8,8
Net_working_capital,31,31,11,11
P_to_E,32,32,27,27
Liquidity_ratios,33,33,14,14
Cost_to_sales_ratio,34,34,16,16
Working_capital_return,35,35,45,45
Capital,36,36,4,4
Average_payment_period,37,37,37,37
Debt_to_total_assets_ratio,38,38,40,40
Quick_Ratio,39,39,10,10
Operating_cash_flow_to_sales,40,40,5,5
Total_asset_turnover,41,41,34,34
Net_return_on_working_capital,42,42,31,31
Longterm_debt_to_equity_ratio,43,43,20,20
Cash_flow_returns_to_sales,44,44,32,32
Current_debt_to_total_debt_Ratio,45,45,23,23
