Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
ROI,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2.2,0.40824829046386296
ROA,3,3,3,4,4,4,3,3,3,5,4,5,3,4,3,4,3,3,3,5,3,3,4,4,4,3,3.6,0.7071067811865476
Sales_growth_rate,6,4,4,2,3,2,4,4,4,6,3,2,4,2,6,3,4,4,4,3,6,4,2,3,3,4,3.68,1.2819256348686274
Operating_assets_Ratio,5,5,6,5,6,5,6,5,6,3,6,7,5,6,5,6,6,6,5,7,4,6,5,7,5,5,5.52,0.918331820930394
P_to_B,4,6,5,6,7,6,5,6,5,7,5,6,6,5,4,5,5,5,6,6,5,5,6,6,6,6,5.52,0.7702813338860895
ROE,7,7,7,7,5,7,7,7,7,4,7,4,7,7,7,7,7,7,7,4,7,7,7,5,7,7,6.48,1.0847426730181986
Cash_to_total_assets_ratio,8,11,9,8,8,8,10,9,8,9,9,8,10,8,8,8,8,11,8,11,9,8,10,8,9,8,8.84,1.0677078252031311
P_to_S,10,31,8,33,10,34,9,36,33,8,35,9,8,31,9,35,32,8,31,9,8,9,8,9,33,8,19.44,12.413299319681292
Net_profit_margin,9,10,12,9,9,9,8,11,9,11,11,10,9,9,12,9,9,9,10,10,10,10,12,10,8,9,9.8,1.1547005383792515
EPS,13,8,10,10,13,10,15,8,10,12,8,14,17,10,13,10,11,10,9,8,14,13,9,11,11,10,11.08,2.396525262402492
Operating_profit_margin,14,12,11,15,17,12,12,17,11,10,13,11,11,12,10,12,10,12,12,14,12,11,13,12,10,12,12.24,1.9209372712298547
DPS,11,9,19,17,12,14,19,10,13,16,10,13,21,18,15,17,15,17,15,12,18,12,11,18,12,12,14.56,3.330165161069343
DuPont_Ratio,19,13,13,12,14,17,13,12,12,18,14,12,13,11,17,13,13,16,11,13,16,14,18,13,13,13,14.0,2.29128784747792
Profit_margin_before_interest_and_taxes,15,14,15,18,11,13,11,14,14,13,12,15,12,13,14,11,12,14,14,15,17,15,14,17,19,14,14.08,2.1
Gross_profit_margin,16,15,21,23,15,16,17,24,15,14,19,18,18,16,16,19,14,15,19,16,19,18,17,15,15,15,17.2,2.629955639676583
Equity_Ratio,27,21,32,21,18,25,16,28,22,22,17,27,16,21,23,16,28,20,25,19,13,20,24,22,14,16,21.48,4.796873982084583
Sale_to_current_assets,23,20,35,14,36,15,25,27,18,23,28,17,22,17,26,21,17,21,29,29,31,24,19,26,22,17,23.4,5.852349955359813
EPS_growth,31,37,20,13,29,23,38,34,35,21,20,19,26,15,36,23,26,30,17,24,34,17,27,30,28,17,26.12,7.259017380701973
Stock_market_value,21,24,18,19,20,30,26,16,21,25,18,23,20,25,18,26,23,24,13,23,20,21,15,14,18,18,20.84,4.1299717513158205
Debt_to_equity_ratio,26,19,16,20,16,26,14,13,20,20,15,26,14,20,20,15,27,18,16,17,15,19,21,20,16,20,18.76,4.054626986542659
Fixed_asset_turnover,17,17,24,16,22,33,20,20,24,19,16,32,19,23,22,20,16,31,26,26,26,26,20,19,20,20,22.16,4.913247398615299
Total_income_growth,25,23,17,11,24,18,23,30,17,17,25,16,23,19,29,25,20,32,22,18,30,23,28,23,26,23,22.56,5.140363151892416
Current_assets_ratio,32,29,23,22,23,21,28,26,23,37,23,20,29,26,27,18,30,28,18,22,27,22,23,24,34,23,25.4,4.752192476461084
Net_profit_to_sale,20,18,25,24,25,29,24,18,25,24,27,25,24,27,19,27,18,23,21,33,23,29,22,21,27,24,23.92,3.785058343892029
Profit_margin_growth_rate,28,22,30,28,19,22,21,23,27,35,24,30,27,24,32,32,24,33,20,20,21,30,26,27,17,24,25.68,4.845272610149678
Operating_profit_to_sale,24,26,28,25,26,32,22,21,28,28,30,28,31,29,24,33,22,26,27,31,24,32,25,25,25,25,26.88,3.3331666624997918
Net_profit_to_Gross_profit,22,28,27,27,28,31,27,19,26,26,31,24,28,28,21,29,19,25,23,28,25,31,31,29,21,28,26.16,3.6478304054145205
Return_ratio_without_risk,39,16,36,32,21,24,29,29,30,34,36,21,25,22,30,22,31,29,28,35,35,16,37,33,29,29,28.76,6.437390775772433
Current_ratio,33,32,33,29,27,37,44,31,29,29,22,29,30,44,31,31,36,35,33,21,29,25,36,41,42,29,32.36,6.061352984276695
Net_working_capital,29,25,31,30,30,28,30,22,34,33,34,33,33,32,25,30,25,27,24,30,28,34,38,31,32,30,29.92,3.774034092762456
P_to_E,30,30,42,34,37,27,35,35,32,30,33,35,39,30,33,34,34,42,30,32,40,37,32,38,31,30,34.08,3.967786956646404
Liquidity_ratios,36,34,29,26,34,43,31,25,16,32,32,31,32,36,28,24,35,34,39,38,36,28,29,32,37,32,31.88,5.614861233073055
Cost_to_sales_ratio,38,41,26,45,32,41,32,33,40,27,26,42,37,35,34,43,43,19,35,34,32,41,33,37,30,32,35.04,6.360555531293369
Working_capital_return,35,36,37,35,31,35,33,38,37,31,38,36,35,37,38,39,37,38,34,37,37,35,34,34,35,35,35.68,2.0960279896349987
Capital,34,33,38,36,35,38,34,37,36,41,37,37,38,34,41,38,33,36,41,41,39,38,43,36,36,36,37.2,2.70801280154532
Average_payment_period,18,38,22,38,38,20,37,40,19,39,21,38,40,40,40,28,21,22,37,39,38,39,16,28,38,38,31.76,8.912911982062877
Debt_to_total_assets_ratio,37,35,44,39,33,19,39,39,39,40,41,34,36,33,39,37,29,37,36,44,22,33,30,35,23,39,34.92,6.324028252097972
Quick_Ratio,41,27,34,31,40,39,42,32,31,36,29,39,34,39,35,36,38,39,38,27,33,27,41,40,40,39,35.52,4.779469984562445
Operating_cash_flow_to_sales,12,42,14,37,41,11,18,15,38,15,39,40,15,14,11,14,40,13,40,25,11,40,35,16,24,40,24.8,12.496666222103665
Total_asset_turnover,40,39,39,40,39,36,40,41,41,38,40,41,41,41,42,40,39,41,42,40,41,36,39,39,41,41,39.84,1.5459624833740306
Net_return_on_working_capital,42,40,40,41,42,40,41,42,43,42,42,22,42,42,44,41,44,40,43,42,42,42,44,42,39,42,40.96,4.158124577258358
Longterm_debt_to_equity_ratio,45,43,41,42,43,44,45,43,42,43,43,43,45,43,43,42,41,43,45,43,43,45,42,43,44,43,43.16,1.1789826122551597
Cash_flow_returns_to_sales,43,44,43,44,44,42,43,45,44,44,44,45,44,45,37,45,42,44,44,45,45,44,45,45,45,44,43.8,1.6832508230603465
Current_debt_to_total_debt_Ratio,44,45,45,43,45,45,36,44,45,45,45,44,43,38,45,44,45,45,32,36,44,43,40,44,43,45,42.72,3.5180487015768653
