Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,2,1,1,1,1.2,0.4472135954999579
P_to_B,8,3,1,5,2,1,3.8,2.7748873851023217
Operating_cash_flow_to_sales,4,2,7,9,3,2,5.0,2.9154759474226504
Quick_Ratio,2,4,16,12,13,2,9.4,6.066300355241241
Current_ratio,3,5,17,13,12,3,10.0,5.830951894845301
Net_profit_to_sale,5,6,5,4,7,5,5.4,1.140175425099138
Net_profit_to_Gross_profit,7,7,3,2,6,7,5.0,2.345207879911715
Operating_profit_to_sale,6,8,4,3,8,8,5.8,2.280350850198276
Capital,9,9,6,8,9,9,8.2,1.3038404810405297
Net_working_capital,10,10,8,6,10,10,8.8,1.7888543819998317
Sale_to_current_assets,34,31,10,21,20,10,23.2,9.57601169589929
Stock_market_value,11,11,9,7,11,11,9.8,1.7888543819998317
Net_profit_margin,12,25,35,16,15,12,20.6,9.396807968666806
Gross_profit_margin,37,24,12,33,32,12,27.6,9.91463564635635
Fixed_asset_turnover,40,12,26,32,35,12,29.0,10.770329614269007
Equity_Ratio,13,13,14,10,5,13,11.0,3.6742346141747673
Liquidity_ratios,16,21,13,28,22,13,20.0,5.787918451395113
Debt_to_equity_ratio,14,14,15,11,4,14,11.6,4.505552130427524
Profit_margin_growth_rate,15,15,23,14,26,15,18.6,5.504543577809154
ROE,24,16,22,19,17,16,19.6,3.361547262794322
Sales_growth_rate,19,28,31,39,16,16,26.6,9.289779329994873
Cash_flow_returns_to_sales,21,17,19,42,31,17,26.0,10.44030650891055
Profit_margin_before_interest_and_taxes,17,39,40,23,28,17,29.4,10.014988766843425
P_to_E,23,22,29,18,25,18,23.4,4.03732584763727
ROA,18,34,41,20,24,18,27.4,9.787747442593725
Return_from_market,36,19,33,38,18,18,28.8,9.57601169589929
Longterm_debt_to_equity_ratio,20,20,11,15,14,20,16.0,3.9370039370059056
Current_assets_ratio,32,37,21,17,21,21,25.6,8.473488065725945
Net_return_on_working_capital,22,29,24,22,23,22,24.0,2.9154759474226504
Debt_to_total_assets_ratio,28,23,30,43,42,23,33.2,8.87130204648675
Total_asset_turnover,33,41,25,31,39,25,33.8,6.418722614352484
ROI,26,42,45,26,30,26,33.8,9.06642156531451
Return_ratio_without_risk,38,26,44,45,43,26,39.2,7.8549347546621915
Current_debt_to_total_debt_Ratio,27,18,37,25,27,27,26.8,6.797058187186572
DPS,25,27,28,27,29,27,27.2,1.4832396974191326
EPS,30,33,27,29,34,27,30.6,2.8809720581775866
Working_capital_return,29,45,34,36,44,29,37.6,6.8044103344816
Average_payment_period,31,32,39,30,33,30,33.0,3.5355339059327378
Total_income_growth,39,35,42,34,37,34,37.4,3.209361307176242
Cost_to_sales_ratio,35,43,18,35,19,35,30.0,11.0
P_to_S,41,36,32,24,36,36,33.8,6.340346993658943
Cash_to_total_assets_ratio,42,38,36,40,45,36,40.2,3.492849839314596
EPS_growth,43,40,38,37,38,38,39.2,2.3874672772626644
Operating_assets_Ratio,45,44,43,41,40,40,42.6,2.0736441353327724
Operating_profit_margin,44,30,20,44,41,44,35.8,10.545141061171254
