Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,1,1,1.0,0.0
P_to_B,2,2,2,2,2,2,2.0,0.0
Capital,3,8,7,3,6,3,5.4,2.3021728866442674
Net_profit_to_sale,5,4,4,11,3,4,5.4,3.2093613071762426
Longterm_debt_to_equity_ratio,12,16,14,4,13,4,11.8,4.604345773288535
Net_profit_to_Gross_profit,4,3,5,9,5,5,5.2,2.280350850198276
Operating_profit_to_sale,6,5,6,10,4,6,6.2,2.280350850198276
Current_ratio,8,6,9,7,7,7,7.4,1.1401754250991378
Quick_Ratio,9,7,11,8,10,7,9.0,1.5811388300841898
Net_working_capital,7,9,8,12,8,8,8.8,1.9235384061671343
Stock_market_value,10,10,10,13,9,10,10.4,1.51657508881031
Net_profit_margin,38,11,16,26,29,11,24.0,10.700467279516348
Return_from_market,11,43,27,40,18,11,27.8,13.773162309360911
Equity_Ratio,18,12,12,5,11,12,11.6,4.61519230368573
Debt_to_equity_ratio,19,13,13,6,12,13,12.6,4.61519230368573
EPS,13,20,19,17,30,13,19.8,6.300793600809346
Liquidity_ratios,15,14,20,19,16,14,16.8,2.588435821108957
Gross_profit_margin,27,34,18,16,15,15,22.0,8.215838362577491
Cash_flow_returns_to_sales,28,30,22,15,39,15,26.8,8.983317872590282
Profit_margin_before_interest_and_taxes,43,15,28,38,45,15,33.8,12.397580409095962
Sale_to_current_assets,16,37,34,27,20,16,26.8,8.927485648266257
ROE,20,29,17,14,17,17,19.4,5.770615218501403
Profit_margin_growth_rate,26,18,24,25,19,18,22.4,3.6469165057620936
Current_assets_ratio,21,19,23,20,36,19,23.8,6.97853852894716
Net_return_on_working_capital,33,22,21,24,21,21,24.2,5.06951674225463
Debt_to_total_assets_ratio,31,21,40,35,26,21,30.6,7.436396977031283
Sales_growth_rate,34,39,37,21,35,21,33.2,7.08519583356734
Cost_to_sales_ratio,22,17,15,22,14,22,18.0,3.8078865529319543
ROA,40,23,31,44,28,23,33.2,8.64291617453276
Operating_cash_flow_to_sales,30,24,3,23,24,24,20.8,10.329569206893384
EPS_growth,24,36,26,41,31,24,31.6,7.021395872616783
DPS,14,25,25,18,25,25,21.4,5.128352561983234
P_to_E,25,35,39,34,27,25,32.0,5.830951894845301
Working_capital_return,45,26,43,28,44,26,37.2,9.364827814754525
Current_debt_to_total_debt_Ratio,44,28,32,37,38,28,35.8,6.099180272790762
Operating_profit_margin,39,42,35,29,33,29,35.6,5.079370039680118
Total_asset_turnover,23,27,30,30,42,30,30.4,7.092249290598858
P_to_S,32,32,36,31,23,32,30.8,4.764451699828638
Average_payment_period,35,31,33,32,32,32,32.6,1.51657508881031
Fixed_asset_turnover,17,33,38,33,22,33,28.6,8.734987120768983
Total_income_growth,36,41,29,36,34,36,35.2,4.324349662087931
Cash_to_total_assets_ratio,42,40,45,42,40,40,41.8,2.0493901531919194
ROI,41,38,41,39,41,41,40.0,1.4142135623730951
Operating_assets_Ratio,29,44,44,43,37,44,39.4,6.50384501660364
Return_ratio_without_risk,37,45,42,45,43,45,42.4,3.2863353450309964
