Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,2,2,2,2,2,2.0,0.0
ROA,4,3,4,3,3,3,3.4,0.5477225575051661
Sales_growth_rate,3,4,5,4,5,4,4.2,0.8366600265340756
P_to_B,5,6,6,5,4,5,5.2,0.8366600265340756
Operating_assets_Ratio,6,5,7,6,6,6,6.0,0.7071067811865476
ROE,7,8,3,7,7,7,6.4,1.9493588689617927
P_to_S,8,7,8,8,8,8,7.8,0.44721359549995787
Net_profit_margin,9,9,10,11,12,9,10.2,1.3038404810405297
EPS,15,14,13,12,9,9,12.6,2.3021728866442674
Cash_to_total_assets_ratio,10,10,11,9,10,10,10.0,0.7071067811865476
Operating_profit_margin,12,11,12,14,15,12,12.8,1.6431676725154984
Operating_cash_flow_to_sales,13,16,9,10,13,13,12.2,2.7748873851023212
Profit_margin_before_interest_and_taxes,11,12,14,13,14,14,12.8,1.3038404810405297
Gross_profit_margin,14,15,15,20,25,15,17.8,4.658325879540846
DuPont_Ratio,16,13,16,15,16,16,15.2,1.30384048104053
DPS,19,17,17,16,11,17,16.0,3.0
Debt_to_equity_ratio,17,18,19,17,21,17,18.4,1.6733200530681511
Cost_to_sales_ratio,20,32,31,27,17,17,25.4,6.6558245169174945
Equity_Ratio,18,19,20,18,22,18,19.4,1.6733200530681511
Sale_to_current_assets,30,43,32,19,19,19,28.6,10.064790112068906
Average_payment_period,21,20,33,21,20,20,23.0,5.612486080160912
Net_profit_to_sale,22,21,22,22,23,22,22.0,0.7071067811865476
Stock_market_value,23,22,18,23,27,23,22.6,3.2093613071762426
Net_profit_to_Gross_profit,24,23,23,24,24,24,23.6,0.5477225575051661
Operating_profit_to_sale,25,24,24,26,26,24,25.0,1.0
Net_working_capital,26,27,25,29,30,25,27.4,2.073644135332772
Current_assets_ratio,35,25,30,28,32,25,30.0,3.8078865529319543
Return_ratio_without_risk,27,26,26,33,37,26,29.8,4.969909455915671
EPS_growth,39,37,27,35,38,27,35.2,4.8166378315169185
Fixed_asset_turnover,28,28,29,25,28,28,27.6,1.51657508881031
Total_income_growth,31,29,21,31,29,29,28.2,4.147288270665544
Profit_margin_growth_rate,29,30,28,30,31,30,29.6,1.1401754250991378
Liquidity_ratios,34,38,36,32,33,32,34.6,2.4083189157584592
Current_ratio,43,33,42,39,40,33,39.4,3.911521443121589
Capital,33,31,43,34,34,34,35.0,4.636809247747852
Debt_to_total_assets_ratio,38,39,35,44,35,35,38.2,3.7013511046643495
Working_capital_return,32,35,34,36,36,36,34.6,1.6733200530681511
Quick_Ratio,42,36,40,38,39,36,39.0,2.23606797749979
Net_return_on_working_capital,37,34,37,37,18,37,32.6,8.264381404557755
Total_asset_turnover,40,41,41,41,41,41,40.8,0.4472135954999579
P_to_E,36,42,45,40,42,42,41.0,3.3166247903554
Longterm_debt_to_equity_ratio,41,44,44,43,43,43,43.0,1.224744871391589
Cash_flow_returns_to_sales,44,40,39,45,44,44,42.4,2.701851217221259
Current_debt_to_total_debt_Ratio,45,45,38,42,45,45,43.0,3.082207001484488
