Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
Sales_growth_rate,4,2,6,6,2,2,4.0,2.0
ROI,2,3,3,2,3,3,2.6,0.5477225575051661
ROA,3,4,5,3,5,3,4.0,1.0
Operating_assets_Ratio,6,5,4,4,6,4,5.0,1.0
P_to_B,5,6,7,5,4,5,5.4,1.140175425099138
ROE,7,7,2,7,7,7,6.0,2.23606797749979
Cash_to_total_assets_ratio,8,8,8,8,11,8,8.6,1.3416407864998738
Net_profit_margin,9,10,10,9,13,9,10.2,1.6431676725154984
EPS,10,9,9,10,10,10,9.6,0.5477225575051662
Total_income_growth,14,17,12,11,21,11,15.0,4.06201920231798
DuPont_Ratio,11,18,16,12,19,11,15.2,3.5637059362410923
EPS_growth,17,19,11,15,23,11,17.0,4.47213595499958
Sale_to_current_assets,12,11,13,13,14,13,12.6,1.1401754250991378
Operating_profit_margin,22,14,19,21,16,14,18.4,3.361547262794322
Fixed_asset_turnover,15,16,14,27,15,15,17.4,5.412947441089743
DPS,16,15,18,16,12,16,15.4,2.1908902300206643
Profit_margin_before_interest_and_taxes,13,12,17,14,17,17,14.6,2.3021728866442674
Stock_market_value,23,22,21,28,18,18,22.4,3.646916505762094
Debt_to_equity_ratio,18,25,25,18,29,18,23.0,4.847679857416329
Equity_Ratio,19,26,24,19,30,19,23.6,4.722287581247038
Current_assets_ratio,20,13,15,17,20,20,17.0,3.082207001484488
Gross_profit_margin,31,20,20,32,26,20,25.8,5.761944116355173
Net_profit_to_sale,21,21,22,23,22,21,21.8,0.8366600265340756
Operating_profit_to_sale,26,24,28,29,24,24,26.2,2.280350850198276
Liquidity_ratios,24,28,31,24,31,24,27.6,3.507135583350036
Net_profit_to_Gross_profit,25,23,23,25,25,25,24.2,1.0954451150103324
Profit_margin_growth_rate,29,27,26,20,27,27,25.8,3.420526275297414
Current_ratio,27,38,27,26,35,27,30.6,5.504543577809153
Net_working_capital,30,29,29,31,28,29,29.4,1.1401754250991378
Quick_Ratio,28,40,30,30,36,30,32.8,5.019960159204453
Return_ratio_without_risk,39,31,32,34,33,31,33.8,3.1144823004794873
P_to_S,32,30,33,33,8,33,27.2,10.80277742064512
P_to_E,33,36,35,37,44,33,37.0,4.183300132670378
Working_capital_return,35,33,34,35,34,34,34.2,0.8366600265340756
Capital,34,34,37,36,40,34,36.2,2.4899799195977463
Operating_cash_flow_to_sales,36,32,36,40,9,36,30.6,12.401612798341997
Average_payment_period,37,35,38,22,37,37,33.8,6.685805860178712
Debt_to_total_assets_ratio,43,39,45,38,42,38,41.4,2.8809720581775866
Total_asset_turnover,38,37,40,39,39,39,38.6,1.140175425099138
Net_return_on_working_capital,44,42,39,41,41,41,41.4,1.816590212458495
Longterm_debt_to_equity_ratio,41,43,41,44,43,41,42.4,1.3416407864998738
Current_debt_to_total_debt_Ratio,45,41,42,42,45,42,43.0,1.8708286933869707
Cash_flow_returns_to_sales,42,45,43,43,38,43,42.2,2.588435821108957
Cost_to_sales_ratio,40,44,44,45,32,44,41.0,5.385164807134504
