Features,1,2,3,4,5,Mode,Mean,Std
P_to_B,1,3,1,1,2,1,1.6,0.8944271909999159
DuPont_Ratio,2,8,2,3,1,2,3.2,2.7748873851023217
Net_profit_to_Gross_profit,5,2,3,2,6,2,3.6,1.8165902124584952
Operating_cash_flow_to_sales,27,26,24,22,3,3,20.4,9.91463564635635
Net_profit_to_sale,4,5,4,5,4,4,4.4,0.5477225575051662
Capital,3,4,6,4,5,4,4.4,1.1401754250991378
Net_working_capital,12,6,9,7,11,6,9.0,2.5495097567963922
Stock_market_value,14,7,10,8,12,7,10.2,2.8635642126552705
Equity_Ratio,20,10,7,18,13,7,13.6,5.412947441089743
Cost_to_sales_ratio,7,17,19,14,24,7,16.2,6.300793600809346
Operating_profit_to_sale,8,1,5,6,8,8,5.6,2.8809720581775866
Debt_to_equity_ratio,21,9,8,19,14,8,14.2,5.805170109479997
Current_ratio,22,11,11,9,9,9,12.4,5.458937625582473
Gross_profit_margin,9,24,30,17,36,9,23.2,10.61602562167217
Profit_margin_growth_rate,10,20,15,13,16,10,14.8,3.7013511046643495
ROE,11,15,18,10,27,10,16.2,6.833739825307955
Quick_Ratio,19,12,12,11,7,12,12.2,4.324349662087931
Current_assets_ratio,24,21,13,12,19,12,17.8,5.167204273105526
Return_from_market,18,13,16,20,17,13,16.8,2.588435821108957
Liquidity_ratios,15,22,14,24,20,14,19.0,4.358898943540674
Net_profit_margin,36,30,21,42,15,15,28.8,10.940749517286282
Debt_to_total_assets_ratio,43,35,28,15,39,15,32.0,11.0
Longterm_debt_to_equity_ratio,26,16,17,16,10,16,17.0,5.744562646538029
EPS,16,40,41,32,43,16,34.4,11.104053313993049
DPS,17,36,39,34,33,17,31.8,8.5848704125339
Operating_assets_Ratio,40,18,37,41,32,18,33.6,9.396807968666808
Profit_margin_before_interest_and_taxes,44,39,33,40,18,18,34.8,10.183319694480774
P_to_E,34,28,20,26,38,20,29.2,7.014271166700073
Return_ratio_without_risk,28,34,26,21,44,21,30.6,8.82043082847998
ROA,39,33,22,45,22,22,32.2,10.232301793829187
Fixed_asset_turnover,6,19,34,23,23,23,21.0,10.074720839804943
P_to_S,30,29,23,25,28,23,27.0,2.9154759474226504
Working_capital_return,38,23,36,35,41,23,34.6,6.87749954561976
Net_return_on_working_capital,37,32,25,36,35,25,33.0,4.847679857416329
Operating_profit_margin,25,37,44,33,45,25,36.8,8.25832912882503
Sales_growth_rate,42,43,35,29,26,26,35.0,7.582875444051551
Cash_flow_returns_to_sales,13,27,27,28,21,27,23.2,6.340346993658943
Sale_to_current_assets,23,25,29,30,29,29,27.2,3.03315017762062
Average_payment_period,31,14,31,44,25,31,29.0,10.88577052853862
Total_asset_turnover,32,31,32,31,31,31,31.4,0.5477225575051661
Total_income_growth,41,42,38,39,34,34,38.8,3.1144823004794873
ROI,33,44,42,37,37,37,38.6,4.39317652729776
EPS_growth,45,38,43,38,42,38,41.2,3.1144823004794873
Current_debt_to_total_debt_Ratio,35,41,40,43,40,40,39.8,2.9495762407505253
Cash_to_total_assets_ratio,29,45,45,27,30,45,35.2,9.011104260855047
