Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,2,2,2,2,2,2.0,0.0
ROA,4,3,3,3,3,3,3.2,0.44721359549995787
Operating_assets_Ratio,3,4,5,4,5,4,4.2,0.8366600265340756
Sales_growth_rate,5,5,4,6,4,4,4.8,0.8366600265340756
P_to_B,6,7,6,5,6,6,6.0,0.7071067811865476
ROE,8,6,7,7,7,7,7.0,0.7071067811865476
EPS,9,8,8,9,8,8,8.4,0.5477225575051662
P_to_S,7,9,9,8,9,9,8.4,0.8944271909999159
Operating_profit_margin,13,13,10,10,10,10,11.2,1.6431676725154982
DPS,12,10,11,11,11,11,11.0,0.7071067811865476
Cash_to_total_assets_ratio,11,11,13,14,13,11,12.4,1.3416407864998738
Net_profit_margin,10,12,12,15,12,12,12.2,1.7888543819998317
Profit_margin_before_interest_and_taxes,14,15,14,16,14,14,14.6,0.8944271909999159
Gross_profit_margin,18,16,15,13,15,15,15.4,1.816590212458495
Operating_cash_flow_to_sales,15,17,16,12,16,16,15.2,1.9235384061671343
DuPont_Ratio,16,14,17,17,17,17,16.2,1.30384048104053
Cost_to_sales_ratio,17,27,31,37,34,17,29.2,7.758865896508329
Net_profit_to_sale,21,20,18,19,23,18,20.2,1.9235384061671346
Sale_to_current_assets,22,18,34,29,33,18,27.2,6.978538528947161
Stock_market_value,20,19,19,21,18,19,19.4,1.1401754250991378
Net_profit_to_Gross_profit,23,22,21,20,24,20,22.0,1.5811388300841898
Total_income_growth,33,34,20,36,28,20,30.2,6.418722614352485
Return_ratio_without_risk,34,21,32,35,37,21,31.8,6.300793600809346
P_to_E,25,28,29,23,36,23,28.2,4.969909455915671
Operating_profit_to_sale,24,24,23,22,25,24,23.6,1.1401754250991378
Debt_to_equity_ratio,28,25,24,25,21,25,24.6,2.5099800796022262
Fixed_asset_turnover,19,23,26,24,26,26,23.6,2.8809720581775866
Equity_Ratio,27,26,25,26,20,26,24.8,2.7748873851023217
EPS_growth,35,36,27,39,27,27,32.8,5.495452665613634
Net_working_capital,26,31,28,28,22,28,27.0,3.3166247903554
Profit_margin_growth_rate,29,29,22,32,31,29,28.6,3.9115214431215892
Quick_Ratio,38,33,36,34,29,29,34.0,3.391164991562634
Current_assets_ratio,30,35,30,30,19,30,28.8,5.890670590009257
Liquidity_ratios,31,30,37,27,30,30,31.0,3.6742346141747673
Capital,32,37,33,31,40,31,34.6,3.7815340802378077
Current_ratio,36,32,39,38,32,32,35.4,3.286335345030997
Working_capital_return,37,39,35,33,35,35,35.8,2.280350850198276
Debt_to_total_assets_ratio,40,38,38,42,45,38,40.6,2.9664793948382653
Average_payment_period,39,40,40,18,38,40,35.0,9.539392014169456
Total_asset_turnover,41,42,41,41,39,41,40.8,1.0954451150103321
Current_debt_to_total_debt_Ratio,45,44,42,44,42,42,43.4,1.3416407864998738
Net_return_on_working_capital,43,41,43,43,41,43,42.2,1.0954451150103321
Longterm_debt_to_equity_ratio,42,43,44,45,43,43,43.4,1.140175425099138
Cash_flow_returns_to_sales,44,45,45,40,44,44,43.6,2.073644135332772
