Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,1,1,1.0,0.0
P_to_B,2,8,2,2,2,2,3.2,2.6832815729997477
Equity_Ratio,3,12,4,9,3,3,6.2,4.08656334834051
Debt_to_equity_ratio,4,13,5,10,4,4,7.2,4.08656334834051
Quick_Ratio,10,11,6,4,9,4,8.0,2.9154759474226504
Net_profit_to_sale,5,3,3,5,5,5,4.2,1.0954451150103321
Net_profit_to_Gross_profit,6,4,7,6,8,6,6.2,1.4832396974191326
Operating_cash_flow_to_sales,19,6,22,24,20,6,18.2,7.085195833567341
Operating_profit_to_sale,7,5,9,7,7,7,7.0,1.4142135623730951
Capital,8,2,11,8,6,8,7.0,3.3166247903554
Current_ratio,9,10,10,3,10,10,8.4,3.0495901363953815
Net_working_capital,11,7,12,11,12,11,10.6,2.073644135332772
Stock_market_value,12,9,13,12,11,12,11.4,1.51657508881031
Current_assets_ratio,16,23,15,21,13,13,17.6,4.219004621945797
P_to_E,21,27,39,13,37,13,27.4,10.89954127475097
Liquidity_ratios,13,14,14,18,14,14,14.6,1.9493588689617927
Cost_to_sales_ratio,14,22,24,16,18,14,18.8,4.147288270665544
Net_profit_margin,18,15,17,14,15,15,15.8,1.6431676725154984
Return_from_market,23,26,18,15,19,15,20.2,4.324349662087931
Profit_margin_growth_rate,22,17,16,25,21,16,20.2,3.7013511046643495
DPS,43,44,40,37,16,16,36.0,11.510864433221338
ROA,17,18,23,27,24,17,21.8,4.207136793592526
Sale_to_current_assets,24,32,43,17,29,17,29.0,9.669539802906858
ROE,20,25,19,19,23,19,21.2,2.6832815729997477
Longterm_debt_to_equity_ratio,15,20,8,20,17,20,16.0,4.949747468305833
Total_income_growth,41,40,20,38,45,20,36.8,9.731392500562292
Current_debt_to_total_debt_Ratio,38,24,25,42,40,24,33.8,8.613942186943213
Sales_growth_rate,27,39,29,26,25,25,29.2,5.674504383644443
EPS,39,42,38,45,26,26,38.0,7.245688373094719
EPS_growth,44,45,26,40,39,26,38.8,7.596051605933177
Profit_margin_before_interest_and_taxes,26,21,27,23,27,27,24.8,2.6832815729997477
Cash_flow_returns_to_sales,28,38,44,36,32,28,35.6,6.06630035524124
Cash_to_total_assets_ratio,42,34,36,43,28,28,36.6,6.148170459575759
P_to_S,29,33,30,31,30,30,30.6,1.51657508881031
Fixed_asset_turnover,30,19,32,30,44,30,31.0,8.888194417315589
Net_return_on_working_capital,32,31,42,29,31,31,33.0,5.1478150704935
Return_ratio_without_risk,40,43,31,39,41,31,38.8,4.604345773288536
Average_payment_period,33,16,33,32,34,33,29.6,7.63544366752843
Gross_profit_margin,25,36,28,33,33,33,31.0,4.415880433163924
Total_asset_turnover,34,29,34,28,22,34,29.4,4.979959839195493
Working_capital_return,36,35,21,35,38,35,33.0,6.819090848492928
Operating_assets_Ratio,35,30,35,34,35,35,33.8,2.1679483388678804
Debt_to_total_assets_ratio,37,41,37,44,36,37,39.0,3.391164991562634
ROI,31,28,41,41,42,41,36.6,6.580273550544841
Operating_profit_margin,45,37,45,22,43,45,38.4,9.73652915571047
