Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,3,2,2,3,2,2,2.4,0.5477225575051661
Sales_growth_rate,2,4,3,2,4,2,3.0,1.0
ROA,4,3,4,4,3,4,3.6,0.5477225575051661
P_to_B,5,5,5,6,5,5,5.2,0.4472135954999579
Operating_assets_Ratio,7,6,6,5,6,6,6.0,0.7071067811865476
ROE,6,7,7,7,7,7,6.8,0.44721359549995787
Cash_to_total_assets_ratio,9,8,8,8,9,8,8.4,0.5477225575051661
Net_profit_margin,17,9,9,10,12,9,11.4,3.361547262794322
EPS,11,10,10,11,8,10,10.0,1.224744871391589
Stock_market_value,10,15,12,14,18,10,13.8,3.03315017762062
Operating_profit_margin,12,12,11,9,11,11,11.0,1.224744871391589
DuPont_Ratio,18,11,14,22,15,11,16.0,4.183300132670378
Gross_profit_margin,21,16,20,12,14,12,16.6,3.847076812334269
Profit_margin_before_interest_and_taxes,22,13,13,13,13,13,14.8,4.024922359499621
Operating_cash_flow_to_sales,13,40,37,36,39,13,33.0,11.291589790636214
Total_income_growth,23,14,25,20,19,14,20.2,4.207136793592526
Net_profit_to_Gross_profit,16,20,15,15,22,15,17.6,3.2093613071762426
Operating_profit_to_sale,15,22,19,18,25,15,19.8,3.8340579025361627
Net_profit_to_sale,14,19,16,16,23,16,17.6,3.5071355833500366
Debt_to_equity_ratio,26,23,17,27,16,16,21.8,5.06951674225463
DPS,19,17,22,17,10,17,17.0,4.415880433163924
Equity_Ratio,27,24,18,28,17,17,22.8,5.06951674225463
Net_working_capital,20,21,21,21,26,21,21.8,2.3874672772626644
Profit_margin_growth_rate,32,25,27,23,24,23,26.2,3.5637059362410923
EPS_growth,24,18,24,19,20,24,21.0,2.8284271247461903
Sale_to_current_assets,29,26,26,25,21,26,25.4,2.8809720581775866
Fixed_asset_turnover,28,27,23,24,27,27,25.8,2.16794833886788
P_to_S,8,31,28,29,28,28,24.8,9.47100839404126
Current_assets_ratio,30,29,29,26,36,29,30.0,3.6742346141747673
Liquidity_ratios,25,28,30,30,30,30,28.6,2.1908902300206643
Current_ratio,36,30,40,44,43,30,38.6,5.727128425310541
Capital,41,32,31,31,29,31,32.8,4.711687595755899
Cost_to_sales_ratio,37,41,39,33,31,31,36.2,4.147288270665544
Debt_to_total_assets_ratio,31,36,44,38,33,31,36.4,5.029910535983717
Cash_flow_returns_to_sales,44,42,45,43,32,32,41.2,5.263078946776307
P_to_E,33,33,41,32,38,33,35.4,3.9115214431215892
Return_ratio_without_risk,40,43,33,35,34,33,37.0,4.301162633521313
Working_capital_return,39,34,32,34,35,34,34.8,2.5884358211089573
Quick_Ratio,35,35,38,42,42,35,38.4,3.507135583350036
Average_payment_period,34,37,34,37,37,37,35.8,1.6431676725154982
Net_return_on_working_capital,38,38,36,39,41,38,38.4,1.8165902124584952
Total_asset_turnover,42,39,35,40,40,40,39.2,2.5884358211089573
Current_debt_to_total_debt_Ratio,43,44,43,45,45,43,44.0,1.0
Longterm_debt_to_equity_ratio,45,45,42,41,44,45,43.4,1.8165902124584952
