Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,6,2,4,5,1,1,3.6,2.073644135332772
P_to_B,5,1,5,1,8,1,4.0,3.0
Net_profit_to_Gross_profit,3,3,1,2,2,2,2.2,0.8366600265340756
Operating_profit_to_sale,2,4,3,3,3,3,3.0,0.7071067811865476
Net_profit_to_sale,1,5,2,4,5,5,3.4,1.816590212458495
Capital,7,9,6,6,4,6,6.4,1.816590212458495
Net_working_capital,4,10,7,7,9,7,7.4,2.3021728866442674
Current_ratio,15,13,9,16,7,7,12.0,3.872983346207417
Stock_market_value,8,12,8,10,10,8,9.6,1.6733200530681511
Liquidity_ratios,10,18,16,17,19,10,16.0,3.5355339059327378
Longterm_debt_to_equity_ratio,11,11,17,8,12,11,11.8,3.271085446759225
Profit_margin_growth_rate,17,19,12,11,18,11,15.4,3.6469165057620936
Debt_to_total_assets_ratio,24,45,38,19,11,11,27.4,13.903237033151669
Equity_Ratio,12,7,15,12,14,12,12.0,3.082207001484488
Fixed_asset_turnover,21,6,13,9,13,13,12.4,5.639148871948674
Debt_to_equity_ratio,13,8,14,13,15,13,12.6,2.701851217221259
Cash_flow_returns_to_sales,26,14,29,21,23,14,22.6,5.683308895353129
Sale_to_current_assets,14,15,11,15,32,15,17.4,8.324662155306964
Quick_Ratio,16,16,10,14,6,16,12.4,4.33589667773576
Cost_to_sales_ratio,28,17,18,35,16,16,22.8,8.348652585896719
DPS,38,35,25,29,17,17,28.8,8.318653737234168
Current_assets_ratio,18,24,23,30,38,18,26.6,7.6681158050723255
P_to_S,19,25,28,27,29,19,25.6,3.974921382870358
Net_return_on_working_capital,45,23,19,24,25,19,27.2,10.207840124139876
ROE,27,20,36,22,21,20,25.2,6.610597552415364
Return_from_market,20,26,37,20,31,20,26.8,7.328028384224504
Sales_growth_rate,44,21,20,32,24,20,28.2,10.009995004993758
EPS,40,33,30,31,22,22,31.2,6.457553716385176
ROA,23,37,24,43,44,23,34.2,10.134100848126586
Operating_profit_margin,43,32,42,23,45,23,37.0,9.300537618869138
Total_asset_turnover,25,28,27,25,28,25,26.6,1.51657508881031
Net_profit_margin,22,40,26,45,26,26,31.8,10.059821071967434
Operating_cash_flow_to_sales,9,27,21,34,27,27,23.6,9.370165420097983
Average_payment_period,39,29,31,33,30,29,32.4,3.974921382870358
Profit_margin_before_interest_and_taxes,34,30,40,36,37,30,35.4,3.714835124201342
Total_income_growth,30,44,41,37,34,30,37.2,5.540758070878027
Working_capital_return,32,34,34,39,20,34,31.8,7.085195833567341
Gross_profit_margin,35,22,35,18,33,35,28.6,8.018728078691781
Operating_assets_Ratio,37,41,39,40,35,35,38.4,2.4083189157584592
Cash_to_total_assets_ratio,31,36,45,38,36,36,37.2,5.06951674225463
P_to_E,29,39,22,28,39,39,31.4,7.436396977031283
Return_ratio_without_risk,41,31,33,26,41,41,34.4,6.54217089351845
ROI,33,42,32,42,42,42,38.2,5.215361924162119
Current_debt_to_total_debt_Ratio,42,43,43,41,43,43,42.4,0.8944271909999159
EPS_growth,36,38,44,44,40,44,40.4,3.5777087639996634
