Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,2,3,2,2,2,2.2,0.4472135954999579
Sales_growth_rate,3,6,2,5,4,2,4.0,1.5811388300841898
Operating_assets_Ratio,5,3,5,3,6,3,4.4,1.3416407864998738
ROA,4,4,4,4,3,4,3.8,0.4472135954999579
P_to_B,7,5,6,6,5,5,5.8,0.8366600265340756
ROE,6,7,7,7,7,7,6.8,0.44721359549995787
P_to_S,29,22,8,32,30,8,24.2,9.808159868191384
Cash_to_total_assets_ratio,8,9,9,9,8,9,8.6,0.5477225575051661
Net_profit_margin,9,10,12,12,9,9,10.4,1.51657508881031
EPS,10,11,10,8,10,10,9.8,1.0954451150103324
Operating_profit_margin,11,8,11,11,12,11,10.6,1.51657508881031
Profit_margin_before_interest_and_taxes,12,12,16,14,11,12,13.0,2.0
DPS,13,14,13,10,13,13,12.6,1.51657508881031
Operating_cash_flow_to_sales,37,41,14,39,33,14,32.8,10.917875251164945
Gross_profit_margin,14,13,18,15,15,15,15.0,1.8708286933869707
DuPont_Ratio,15,15,17,16,16,15,15.8,0.8366600265340756
Stock_market_value,19,23,15,20,17,15,18.8,3.03315017762062
Current_assets_ratio,16,16,21,13,14,16,16.0,3.082207001484488
Fixed_asset_turnover,18,17,23,21,20,17,19.8,2.3874672772626644
Return_ratio_without_risk,32,24,26,17,22,17,24.2,5.495452665613635
Net_profit_to_sale,22,26,20,24,18,18,22.0,3.1622776601683795
Total_income_growth,28,25,36,18,19,18,25.2,7.328028384224504
Debt_to_equity_ratio,20,20,27,29,25,20,24.2,4.08656334834051
Equity_Ratio,21,21,29,30,26,21,25.4,4.277849927241488
Current_ratio,35,39,28,22,41,22,33.0,7.905694150420948
Profit_margin_growth_rate,23,19,31,23,27,23,24.6,4.560701700396551
P_to_E,24,18,33,28,24,24,25.4,5.5497747702046425
Net_profit_to_Gross_profit,25,27,22,25,21,25,24.0,2.449489742783178
Operating_profit_to_sale,26,28,24,26,23,26,25.4,1.9493588689617927
Net_working_capital,27,32,19,27,28,27,26.6,4.722287581247038
Liquidity_ratios,30,33,35,36,34,30,33.6,2.3021728866442674
Quick_Ratio,34,37,30,31,40,30,34.4,4.159326868617084
EPS_growth,31,31,38,19,29,31,29.6,6.841052550594828
Current_debt_to_total_debt_Ratio,41,38,42,33,31,31,37.0,4.847679857416329
Sale_to_current_assets,17,29,32,35,32,32,29.0,7.035623639735144
Capital,36,35,40,34,35,35,36.0,2.345207879911715
Total_asset_turnover,42,36,39,41,38,36,39.2,2.3874672772626644
Working_capital_return,33,30,37,37,36,37,34.6,3.0495901363953815
Average_payment_period,38,34,25,38,37,38,34.4,5.504543577809153
Longterm_debt_to_equity_ratio,43,42,41,40,39,39,41.0,1.5811388300841898
Cost_to_sales_ratio,44,40,34,42,42,42,40.4,3.8470768123342687
Net_return_on_working_capital,39,43,43,44,44,43,42.6,2.073644135332772
Debt_to_total_assets_ratio,40,44,44,43,43,43,42.8,1.6431676725154982
Cash_flow_returns_to_sales,45,45,45,45,45,45,45.0,0.0
