Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,2,1,1,1,1,1,1.2,0.44721359549995804
Stock_market_value,1,9,3,2,5,1,4.0,3.1622776601683795
Net_profit_to_sale,3,8,2,3,2,2,3.6,2.5099800796022267
ROA,21,2,11,7,13,2,10.8,7.085195833567341
Current_ratio,12,3,7,9,8,3,7.8,3.271085446759225
Operating_profit_to_sale,4,10,4,6,4,4,5.6,2.6076809620810595
Operating_assets_Ratio,11,5,15,4,9,4,8.8,4.494441010848846
Quick_Ratio,15,4,9,13,10,4,10.2,4.207136793592526
Net_profit_to_Gross_profit,5,14,5,5,3,5,6.4,4.33589667773576
Net_working_capital,8,17,6,10,7,6,9.6,4.393176527297759
Capital,6,21,8,11,14,6,12.0,5.873670062235365
Net_profit_margin,23,6,17,12,18,6,15.2,6.457553716385176
Operating_cash_flow_to_sales,7,20,18,15,23,7,16.6,6.107372593840988
Cost_to_sales_ratio,9,22,16,18,19,9,16.8,4.868264577855234
Sales_growth_rate,10,15,10,8,6,10,9.8,3.3466401061363023
Debt_to_equity_ratio,17,12,12,17,11,12,13.8,2.949576240750525
ROI,43,13,20,25,26,13,25.4,11.104053313993049
Longterm_debt_to_equity_ratio,13,7,14,14,17,14,13.0,3.6742346141747673
Liquidity_ratios,14,18,22,24,16,14,18.8,4.147288270665544
Equity_Ratio,16,11,13,16,12,16,13.6,2.3021728866442674
DPS,18,32,42,36,44,18,34.4,10.334408546211051
Cash_flow_returns_to_sales,19,16,19,21,15,19,18.0,2.449489742783178
P_to_S,30,23,27,19,21,19,24.0,4.47213595499958
Profit_margin_growth_rate,22,25,23,30,20,20,24.0,3.8078865529319543
Gross_profit_margin,20,37,39,44,43,20,36.6,9.710818709048173
Sale_to_current_assets,24,36,21,23,22,21,25.2,6.1400325732035
Return_from_market,36,27,24,22,24,24,26.6,5.5497747702046425
Profit_margin_before_interest_and_taxes,34,24,25,26,28,24,27.4,3.974921382870358
Fixed_asset_turnover,25,29,28,20,25,25,25.4,3.5071355833500366
Current_debt_to_total_debt_Ratio,37,30,26,28,39,26,32.0,5.70087712549569
EPS,26,28,32,41,35,26,32.4,5.9413803110051795
Return_ratio_without_risk,29,26,30,27,27,27,27.8,1.6431676725154982
Operating_profit_margin,27,44,36,34,40,27,36.2,6.418722614352484
Current_assets_ratio,28,41,35,32,42,28,35.6,5.941380311005179
P_to_B,32,39,29,42,38,29,36.0,5.338539126015656
Total_income_growth,39,40,44,45,30,30,39.6,5.941380311005179
Total_asset_turnover,31,31,31,31,33,31,31.4,0.8944271909999159
ROE,35,42,45,39,32,32,38.6,5.224940191045253
Net_return_on_working_capital,33,33,34,29,31,33,32.0,2.0
Average_payment_period,42,34,33,33,34,33,35.2,3.8340579025361623
P_to_E,44,35,37,38,37,37,38.2,3.4205262752974135
Cash_to_total_assets_ratio,38,19,38,40,29,38,32.8,8.814760348415605
Debt_to_total_assets_ratio,40,43,41,35,41,41,40.0,3.0
EPS_growth,41,45,43,43,36,43,41.6,3.4351128074635335
Working_capital_return,45,38,40,37,45,45,41.0,3.8078865529319543
