Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,3,2,2,3,2,2.4,0.5477225575051661
ROA,3,4,3,6,5,3,4.2,1.3038404810405297
Sales_growth_rate,4,5,4,3,2,4,3.6,1.140175425099138
Operating_assets_Ratio,5,6,5,4,4,4,4.8,0.8366600265340756
P_to_B,6,7,6,5,6,6,6.0,0.7071067811865476
ROE,7,2,7,7,7,7,6.0,2.23606797749979
Cash_to_total_assets_ratio,8,8,11,8,9,8,8.8,1.3038404810405297
EPS,12,10,8,9,11,8,10.0,1.5811388300841898
Net_profit_margin,9,9,10,10,10,10,9.6,0.5477225575051662
Operating_profit_margin,10,11,12,14,12,12,11.8,1.4832396974191324
DuPont_Ratio,13,12,14,12,14,12,13.0,1.0
Profit_margin_before_interest_and_taxes,11,13,13,13,13,13,12.6,0.8944271909999157
Gross_profit_margin,14,14,15,23,17,14,16.6,3.7815340802378072
DPS,15,15,9,15,16,15,14.0,2.8284271247461903
Debt_to_equity_ratio,16,17,16,21,19,16,17.8,2.16794833886788
Equity_Ratio,17,16,17,22,20,17,18.4,2.5099800796022267
Net_profit_to_sale,18,18,22,18,26,18,20.4,3.5777087639996634
Stock_market_value,19,19,20,11,24,19,18.6,4.722287581247038
Fixed_asset_turnover,23,22,19,24,21,19,21.8,1.9235384061671346
Net_profit_to_Gross_profit,20,20,23,19,27,20,21.8,3.271085446759225
Operating_profit_to_sale,21,21,24,20,29,21,23.0,3.6742346141747673
Sale_to_current_assets,22,24,21,25,22,22,22.8,1.6431676725154984
Current_assets_ratio,28,23,26,26,23,23,25.2,2.16794833886788
Total_income_growth,25,25,25,27,25,25,25.4,0.8944271909999159
Net_working_capital,26,26,28,17,34,26,26.2,6.099180272790763
P_to_S,27,29,27,28,8,27,23.8,8.871302046486749
Profit_margin_growth_rate,24,28,18,16,28,28,22.8,5.585696017507576
EPS_growth,29,27,29,31,33,29,29.8,2.2803508501982757
Return_ratio_without_risk,31,41,39,29,30,29,34.0,5.5677643628300215
Working_capital_return,30,34,32,33,39,30,33.6,3.361547262794322
Capital,34,33,31,30,40,30,33.6,3.9115214431215892
Liquidity_ratios,35,31,33,34,36,31,33.8,1.9235384061671343
Current_ratio,32,32,30,35,31,32,32.0,1.8708286933869707
Quick_Ratio,33,35,38,39,32,32,35.4,3.049590136395381
P_to_E,41,40,34,32,35,32,36.4,3.9115214431215892
Cost_to_sales_ratio,39,36,35,41,37,35,37.6,2.4083189157584592
Debt_to_total_assets_ratio,37,30,37,37,38,37,35.8,3.271085446759225
Operating_cash_flow_to_sales,38,38,36,40,15,38,33.4,10.382677881933928
Average_payment_period,40,39,40,38,18,40,35.0,9.539392014169456
Total_asset_turnover,42,37,41,36,41,41,39.4,2.701851217221259
Net_return_on_working_capital,43,43,42,42,43,43,42.6,0.5477225575051661
Longterm_debt_to_equity_ratio,44,44,44,43,42,44,43.4,0.8944271909999159
Cash_flow_returns_to_sales,36,45,45,44,45,45,43.0,3.9370039370059056
Current_debt_to_total_debt_Ratio,45,42,43,45,44,45,43.8,1.3038404810405297
