Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
P_to_B,1,1,1,1,36,1,9,2,37,1,37,2,1,2,3,1,35,1,2,4,1,32,1,3,1,1,8.64,13.783686009192172
Return_from_market,29,19,29,2,23,21,43,1,31,29,26,1,29,16,30,14,27,19,1,43,14,28,32,1,32,1,21.6,12.655697004379753
DuPont_Ratio,2,2,2,4,1,2,1,4,1,3,1,5,2,1,2,2,1,2,12,1,2,1,2,2,2,2,2.4,2.254624876411447
Capital,3,6,6,5,10,9,6,8,10,4,9,7,3,8,7,9,11,3,4,2,10,15,3,4,8,3,6.8,3.1885210782848317
Operating_assets_Ratio,27,30,26,3,8,32,42,3,6,25,3,3,22,30,45,27,7,28,3,45,28,9,30,5,45,3,21.28,14.934635359905286
Operating_cash_flow_to_sales,16,11,35,10,2,3,5,37,16,2,16,6,5,10,28,5,13,12,5,11,33,18,33,6,3,5,13.64,11.086327916251921
Net_profit_to_sale,6,4,3,7,5,6,2,6,2,6,4,8,6,7,6,6,3,9,9,5,7,2,8,7,4,6,5.52,2.0840665376454117
Net_profit_to_Gross_profit,4,3,4,8,6,5,3,7,5,5,6,9,9,4,1,3,9,10,7,3,6,6,7,10,6,6,5.84,2.4269322199023193
Current_ratio,13,15,7,9,3,4,4,19,7,16,7,17,7,6,5,12,5,4,17,8,12,3,14,9,10,7,9.32,4.896597458099519
Quick_Ratio,9,8,5,16,13,11,7,23,8,7,12,23,4,13,9,13,8,7,22,7,13,5,4,21,11,7,11.16,5.842944463196617
Operating_profit_to_sale,5,5,8,6,7,8,8,5,4,8,5,4,8,5,8,8,6,6,6,6,8,7,9,8,7,8,6.6,1.4719601443879744
Net_working_capital,10,7,9,12,12,10,10,11,9,10,8,12,10,3,4,10,10,5,10,10,4,8,11,11,5,10,8.84,2.6720778431774774
Gross_profit_margin,12,39,10,38,30,19,36,27,26,20,34,20,12,31,13,26,25,15,8,41,18,44,10,24,18,10,23.84,10.652386274132821
Stock_market_value,11,9,11,14,4,12,11,15,3,12,2,11,14,9,10,11,2,11,14,9,9,4,13,12,9,11,9.68,3.8266608594613314
Debt_to_equity_ratio,8,12,13,21,17,15,15,16,15,14,15,18,11,12,12,7,17,14,25,17,5,12,5,16,19,12,14.04,4.667976006793522
Equity_Ratio,7,13,12,17,15,14,12,17,14,15,14,16,13,11,11,4,16,13,23,14,3,13,6,13,17,13,12.92,4.34856298103178
ROA,35,14,41,26,14,28,17,36,13,39,18,39,38,21,25,25,4,43,27,22,23,10,35,41,43,14,27.08,11.441590798486024
Cost_to_sales_ratio,18,10,17,13,26,7,19,9,19,13,20,14,15,25,20,15,14,17,32,15,19,17,23,19,15,15,17.24,5.471745608121781
Fixed_asset_turnover,22,16,16,42,18,18,18,13,28,26,22,13,18,19,21,20,29,25,20,16,16,30,19,33,14,16,21.28,6.901207623790684
Liquidity_ratios,17,18,15,28,20,17,26,21,21,27,11,10,24,17,17,16,20,21,19,12,15,21,15,22,13,17,18.52,4.762002379951807
Net_profit_margin,21,27,22,20,19,45,14,38,18,24,10,42,32,22,19,18,12,23,35,20,34,16,45,44,26,18,25.84,10.589617556833675
Longterm_debt_to_equity_ratio,24,31,23,35,11,13,28,25,11,22,13,25,28,15,27,19,19,8,16,19,21,14,16,20,27,19,20.4,6.916164640415476
Current_assets_ratio,25,22,28,15,32,26,13,10,30,42,31,30,31,14,14,21,34,34,13,21,11,29,21,15,39,21,24.04,9.194563611178076
Cash_flow_returns_to_sales,19,21,21,37,21,38,29,35,27,18,17,34,17,33,35,40,22,29,29,38,25,19,43,36,23,21,28.24,8.1561837481345
Sale_to_current_assets,14,24,20,41,22,16,25,18,20,31,28,28,34,26,18,22,26,20,26,30,22,22,24,28,16,22,24.04,6.120185182383509
ROE,15,25,14,23,28,20,22,20,41,17,42,19,16,29,22,24,38,16,15,37,24,45,18,29,22,22,24.84,9.159148432032314
P_to_S,37,23,38,32,27,33,38,14,23,36,25,33,35,32,36,35,23,36,34,32,31,20,12,14,29,23,29.12,7.854510381515409
P_to_E,34,26,24,34,41,27,34,12,40,21,41,43,23,23,15,23,41,32,39,24,17,40,37,31,31,23,30.12,9.033825324855467
Operating_profit_margin,28,44,18,29,40,31,24,30,35,28,38,31,19,35,24,41,33,22,11,36,32,33,17,27,25,24,29.24,8.037827235432886
Profit_margin_before_interest_and_taxes,36,33,45,44,29,39,30,44,24,38,23,32,41,20,23,32,28,44,24,25,45,24,31,30,36,24,32.8,7.994789970140971
Profit_margin_growth_rate,26,17,33,11,25,25,16,26,29,23,32,15,25,24,16,17,24,26,18,18,20,26,29,25,12,25,22.32,5.963220606350229
Net_return_on_working_capital,31,41,25,22,31,30,27,28,36,35,33,27,39,28,32,28,39,30,28,26,30,36,25,26,28,28,30.44,4.891148467725483
Current_debt_to_total_debt_Ratio,40,20,31,31,44,34,41,22,38,9,29,21,20,42,31,36,30,27,42,40,41,25,27,43,24,31,31.52,9.179324593890337
DPS,23,36,19,30,16,36,32,33,34,11,30,22,27,40,29,29,21,24,33,33,42,41,28,37,21,33,29.08,7.947326594522211
Return_ratio_without_risk,33,42,44,24,33,23,23,41,25,19,27,26,30,37,40,33,32,42,41,34,26,27,20,18,20,33,30.4,8.144527815247077
ROI,41,28,32,33,34,42,33,39,22,45,21,36,36,38,33,39,18,45,31,28,35,23,42,45,37,33,34.24,7.639153530769405
EPS,32,34,30,27,24,22,35,31,44,34,43,24,21,34,26,42,31,18,21,35,29,34,26,42,40,34,31.16,7.42563128629479
Total_asset_turnover,42,35,37,25,35,35,37,32,32,32,35,35,37,36,37,34,37,38,37,29,37,38,34,32,35,37,34.92,3.353108010985231
Average_payment_period,39,38,40,18,42,37,20,34,39,37,39,41,33,18,39,38,40,41,40,13,40,37,36,17,41,39,34.28,9.02551937563706
Total_income_growth,44,43,42,39,37,43,31,40,45,41,40,40,40,39,44,43,36,33,44,27,43,39,40,39,30,40,39.28,4.695032836235901
EPS_growth,43,40,39,43,38,40,39,45,33,33,44,38,42,45,43,37,44,31,43,31,39,43,22,38,33,43,38.64,5.559376463837169
Debt_to_total_assets_ratio,38,29,34,40,43,44,44,29,43,40,45,37,43,43,41,45,43,35,36,39,36,42,39,34,42,43,39.36,4.617719494873344
Cash_to_total_assets_ratio,20,45,43,36,39,41,40,42,17,43,24,44,44,41,38,30,42,39,38,42,27,31,44,35,44,44,37.16,7.919806394940052
Working_capital_return,45,37,36,19,45,29,45,24,42,44,36,29,45,44,42,44,45,40,30,44,44,35,41,23,38,44,37.84,7.893457206235216
Sales_growth_rate,30,32,27,45,9,24,21,43,12,30,19,45,26,27,34,31,15,37,45,23,38,11,38,40,34,45,29.44,10.843892290132727
