Features,1,2,3,4,5,Mode,Mean,Std
Net_profit_to_Gross_profit,5,1,1,4,5,1,3.2,2.04939015319192
DuPont_Ratio,7,8,6,1,1,1,4.6,3.361547262794322
P_to_B,1,3,7,2,2,2,3.0,2.345207879911715
Net_working_capital,8,6,3,11,12,3,8.0,3.6742346141747673
Current_ratio,13,10,12,7,3,3,9.0,4.06201920231798
Net_profit_to_sale,4,2,4,3,4,4,3.4,0.8944271909999159
Capital,3,5,5,8,7,5,5.6,1.9493588689617927
Operating_profit_to_sale,6,4,2,5,6,6,4.6,1.6733200530681511
Quick_Ratio,19,9,14,6,8,6,11.2,5.263078946776307
Stock_market_value,9,7,8,12,11,7,9.4,2.073644135332772
Equity_Ratio,22,21,9,10,9,9,14.2,6.685805860178712
Debt_to_equity_ratio,23,22,10,9,10,10,14.8,7.049822692805827
Gross_profit_margin,10,16,17,43,34,10,24.0,13.874436925511608
Current_assets_ratio,11,12,11,17,27,11,15.6,6.841052550594828
P_to_E,12,26,19,14,25,12,19.2,6.300793600809346
Profit_margin_growth_rate,18,13,20,25,14,13,18.0,4.847679857416329
Liquidity_ratios,21,27,22,26,13,13,21.8,5.540758070878027
Sale_to_current_assets,25,15,13,27,30,13,22.0,7.54983443527075
Net_profit_margin,31,35,40,13,17,13,27.2,11.670475568716128
Cost_to_sales_ratio,14,23,27,19,16,14,19.8,5.263078946776307
Fixed_asset_turnover,24,17,18,23,15,15,19.4,3.9115214431215892
ROE,15,18,15,32,26,15,21.2,7.52994023880668
Profit_margin_before_interest_and_taxes,38,43,36,15,28,15,32.0,10.931605554537724
Operating_profit_margin,16,31,23,29,45,16,28.8,10.779610382569492
ROA,44,38,39,16,19,16,31.2,12.755391017134675
EPS,17,37,28,44,41,17,33.4,10.96813566655701
Longterm_debt_to_equity_ratio,26,11,16,18,18,18,17.8,5.403702434442519
Operating_cash_flow_to_sales,2,30,21,20,20,20,18.6,10.188228501560022
DPS,20,29,26,37,39,20,30.2,7.854934754662192
Return_from_market,32,28,30,21,23,21,26.8,4.658325879540846
Current_debt_to_total_debt_Ratio,40,42,41,28,21,21,34.4,9.396807968666808
Net_return_on_working_capital,27,24,25,35,22,22,26.6,5.029910535983717
ROI,41,44,38,22,32,22,35.4,8.706319543871567
Sales_growth_rate,37,14,35,24,24,24,26.8,9.364827814754525
Cash_flow_returns_to_sales,28,34,24,39,29,24,30.8,5.805170109479997
P_to_S,29,32,31,30,36,29,31.6,2.701851217221259
Total_asset_turnover,30,25,29,31,31,31,29.2,2.4899799195977463
Cash_to_total_assets_ratio,42,40,32,33,37,32,36.8,4.324349662087931
Average_payment_period,33,36,33,36,38,33,35.2,2.16794833886788
Return_ratio_without_risk,34,33,37,41,33,33,35.6,3.4351128074635335
Debt_to_total_assets_ratio,36,45,44,34,43,34,40.4,5.029910535983717
Working_capital_return,35,41,43,45,44,35,41.6,3.974921382870358
EPS_growth,43,20,34,40,40,40,35.4,9.20869154657707
Total_income_growth,39,19,42,42,35,42,35.4,9.607288899580361
Operating_assets_Ratio,45,39,45,38,42,45,41.8,3.271085446759225
