Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
Operating_assets_Ratio,2,2,2,2,2,2,2.0,0.0
ROI,3,3,3,3,5,3,3.4,0.8944271909999159
P_to_B,4,6,4,4,4,4,4.4,0.8944271909999157
Sales_growth_rate,6,5,5,5,3,5,4.8,1.0954451150103321
ROA,5,4,6,6,6,6,5.4,0.8944271909999159
ROE,7,7,7,7,8,7,7.2,0.4472135954999579
Cash_to_total_assets_ratio,8,8,8,8,9,8,8.2,0.4472135954999579
DuPont_Ratio,9,11,13,9,10,9,10.4,1.6733200530681511
Net_profit_margin,10,12,10,11,11,10,10.8,0.8366600265340756
DPS,17,16,11,23,22,11,17.8,4.868264577855234
Equity_Ratio,12,10,25,12,12,12,14.2,6.099180272790763
Debt_to_equity_ratio,13,9,24,13,13,13,14.4,5.639148871948674
Operating_profit_margin,11,14,14,10,14,14,12.6,1.9493588689617927
Stock_market_value,19,17,16,14,21,14,17.4,2.701851217221259
EPS,14,13,9,15,15,15,13.2,2.4899799195977463
Profit_margin_before_interest_and_taxes,15,15,12,16,17,15,15.0,1.8708286933869707
Return_ratio_without_risk,20,26,15,22,29,15,22.4,5.412947441089743
Net_profit_to_sale,22,18,17,19,23,17,19.8,2.588435821108957
Net_working_capital,30,23,22,17,28,17,24.0,5.1478150704935
Gross_profit_margin,16,20,18,18,20,18,18.4,1.6733200530681511
Current_assets_ratio,18,22,29,24,26,18,23.8,4.147288270665544
Quick_Ratio,25,28,31,29,18,18,26.2,5.06951674225463
Net_profit_to_Gross_profit,28,19,19,20,25,19,22.2,4.08656334834051
Operating_profit_to_sale,26,21,20,21,27,21,23.0,3.24037034920393
Sale_to_current_assets,32,27,23,36,38,23,31.2,6.220932405998316
Current_ratio,24,24,35,32,16,24,26.2,7.496665925596525
Average_payment_period,38,40,37,35,24,24,34.8,6.300793600809346
EPS_growth,33,39,38,25,35,25,34.0,5.5677643628300215
Fixed_asset_turnover,27,33,26,30,37,26,30.6,4.505552130427524
Total_income_growth,31,37,34,26,30,26,31.6,4.159326868617084
P_to_S,21,25,27,27,7,27,21.4,8.414273587185052
Debt_to_total_assets_ratio,36,35,28,38,40,28,35.4,4.560701700396552
Liquidity_ratios,35,30,40,37,34,30,35.2,3.7013511046643495
P_to_E,29,31,21,31,31,31,28.6,4.33589667773576
Profit_margin_growth_rate,23,32,30,33,32,32,30.0,4.06201920231798
Capital,37,34,33,28,33,33,33.0,3.24037034920393
Working_capital_return,34,38,32,34,36,34,34.8,2.280350850198276
Total_asset_turnover,40,36,36,40,39,36,38.2,2.04939015319192
Net_return_on_working_capital,39,29,39,39,41,39,37.4,4.774934554525329
Operating_cash_flow_to_sales,41,42,41,43,19,41,37.2,10.207840124139876
Cost_to_sales_ratio,42,41,45,41,42,41,42.2,1.6431676725154982
Longterm_debt_to_equity_ratio,43,43,42,42,44,42,42.8,0.8366600265340756
Cash_flow_returns_to_sales,45,45,43,44,43,43,44.0,1.0
Current_debt_to_total_debt_Ratio,44,44,44,45,45,44,44.4,0.5477225575051661
