Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
LR,1,63.26,11.28,62.51,18.1,90.42,15.51,42.52,34.81,30.6,28.62,47.62,39.13,71.12,13.22,86.06,7.82,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 0.1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 0.1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,2,65.21,8.98,61.81,16.43,90.22,16.13,42.81,29.57,34.08,21.39,50.89,31.74,78.67,9.08,86.58,7.32,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 1}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,3,63.73,8.74,62.82,17.77,87.12,16.02,45.55,32.43,34.44,22.25,52.12,32.72,78.74,9.61,86.56,7.49,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,4,63.27,9.62,63.92,17.91,86.77,14.57,48.33,31.05,36.47,21.46,55.33,31.3,79.78,8.69,87.28,7.4,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,5,63.93,10.09,64.29,18.03,87.04,14.7,48.56,31.51,36.87,22.1,55.4,31.84,80.27,8.71,87.56,7.49,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,6,62.99,10.11,63.65,18.01,87.35,14.63,47.46,31.24,36.19,22.16,54.56,31.51,80.57,8.41,87.63,7.45,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,7,62.99,9.93,64.68,18.41,87.21,14.54,49.54,31.12,37.99,22.68,56.51,31.43,80.93,7.99,87.93,6.88,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,8,63.2,10.01,64.85,18.39,87.21,14.54,50.12,30.43,38.42,22.63,57.26,31.11,80.5,8.61,87.66,7.17,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,9,63.15,9.98,65.1,18.53,87.21,14.54,50.55,30.52,38.85,22.94,57.63,31.19,80.57,8.64,87.7,7.19,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
LR,10,63.14,10.11,64.85,18.3,87.17,14.76,50.12,30.43,38.45,22.4,57.26,31.06,80.74,8.38,87.86,7.1,"{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2408026755852843), np.int64(1): np.float64(0.837471783295711)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.1951612903225806), np.int64(1): np.float64(0.8596287703016241)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.271954674220963), np.int64(1): np.float64(0.8238532110091743)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.5762331838565022), np.int64(1): np.float64(0.7322916666666667)}, 'C': 10}","{'random_state': 101, 'class_weight': {np.int64(-1): np.float64(1.2571428571428571), np.int64(1): np.float64(0.8301886792452831)}, 'C': 10}"
