Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
ROI,2,2,2,3,3,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2.32,0.47609522856952335
Sales_growth_rate,5,3,6,2,4,2,5,5,3,3,5,2,2,5,3,3,2,6,4,4,6,2,4,3,4,2,3.72,1.3699148392023013
ROA,3,4,3,4,5,4,3,4,4,4,3,4,4,3,4,4,4,3,3,3,4,4,3,4,3,4,3.64,0.5686240703077328
P_to_B,6,5,5,6,6,6,6,7,5,5,6,6,5,7,6,5,6,5,5,5,5,6,5,5,6,5,5.6,0.6454972243679028
Operating_assets_Ratio,4,6,4,5,7,5,4,6,6,6,4,5,6,6,5,6,5,7,7,6,3,7,6,6,5,6,5.48,1.0847426730181986
ROE,7,7,7,7,2,7,7,2,7,7,7,7,7,4,7,7,7,4,6,7,7,5,7,7,7,7,6.24,1.5620499351813308
Cash_to_total_assets_ratio,9,8,9,12,8,9,9,9,8,8,12,9,8,8,8,8,9,9,8,10,10,8,9,9,8,8,8.88,1.1298967504452195
EPS,10,11,8,9,15,12,8,12,10,10,8,8,10,11,13,9,11,12,12,8,9,9,11,8,11,8,10.2,1.848422751068236
P_to_S,8,10,10,8,9,8,33,30,33,9,9,35,9,9,32,30,8,36,33,9,33,33,8,30,29,9,20.04,12.070901650940026
Net_profit_margin,11,12,12,11,10,11,11,8,9,11,13,13,12,10,9,11,10,8,9,13,8,10,10,11,10,11,10.52,1.503329637837291
Operating_profit_margin,13,13,14,14,11,18,12,10,12,12,10,16,13,12,12,14,13,14,13,11,11,13,12,14,13,13,12.8,1.7559422921421233
DuPont_Ratio,16,16,13,15,16,10,14,14,14,20,17,10,15,13,11,12,12,11,10,16,15,11,14,13,9,14,13.48,2.6476404589747453
Profit_margin_before_interest_and_taxes,15,18,15,18,12,16,13,11,11,13,14,11,17,14,10,15,17,19,11,15,12,15,13,12,17,15,14.16,2.5768197453450252
Operating_cash_flow_to_sales,41,15,40,10,41,13,16,43,34,15,16,20,11,25,39,38,15,42,39,21,23,34,15,15,43,15,26.56,12.261321299109651
DPS,12,9,11,13,17,22,10,15,17,17,11,12,16,17,14,13,18,21,15,12,13,16,16,10,23,17,14.8,3.730504880933232
Gross_profit_margin,17,17,18,17,13,20,17,13,20,22,15,22,23,15,17,16,26,20,14,14,14,14,18,19,22,17,17.72,3.470350606687073
Debt_to_equity_ratio,18,22,17,22,18,15,18,16,16,27,27,14,19,19,19,20,19,17,16,17,19,18,24,16,18,18,18.84,3.325156637914471
Equity_Ratio,20,24,16,24,20,17,20,19,19,28,29,15,22,22,21,22,24,16,18,20,20,17,26,17,20,20,20.64,3.6615115275889365
Sale_to_current_assets,24,14,20,25,25,14,30,29,13,31,20,19,18,20,16,19,16,15,30,19,18,20,22,20,27,20,20.96,5.350077881053072
Total_income_growth,14,21,37,20,30,21,29,22,15,18,23,21,26,32,20,10,27,25,22,23,16,32,23,22,14,21,22.52,6.351640208114226
Current_assets_ratio,27,28,21,19,19,33,24,32,29,14,34,17,20,28,33,33,21,10,24,29,21,21,32,21,31,21,24.84,6.6123621598739835
Net_profit_to_sale,21,29,25,23,23,25,19,21,23,24,19,29,29,26,18,21,20,23,20,26,25,24,27,26,24,23,23.6,3.188521078284832
Stock_market_value,25,27,24,16,21,26,15,24,27,23,21,26,14,16,15,18,14,24,26,18,17,12,17,25,12,24,20.12,5.09345985881241
Net_profit_to_Gross_profit,19,32,26,27,26,28,23,25,24,25,22,31,25,27,24,23,22,27,29,27,28,28,28,27,21,27,25.76,3.058866892603643
Fixed_asset_turnover,22,23,32,21,22,24,27,28,18,19,28,18,28,23,27,28,30,13,21,33,22,23,20,18,28,28,23.84,4.9217205663602375
EPS_growth,33,20,29,26,32,40,31,20,32,16,30,24,21,21,23,17,29,29,27,24,30,22,41,23,30,29,26.8,6.363961030678928
