Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0
ROI,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,5,3,2,2,2,2,2,3,2,2.32,0.6904105059069326
ROA,4,5,3,3,3,3,4,4,3,5,4,3,4,3,4,3,5,6,4,3,4,3,3,4,4,3,3.76,0.8306623862918076
Sales_growth_rate,3,2,6,5,4,5,3,3,4,6,3,5,2,4,6,6,3,3,2,4,3,5,4,3,2,3,3.84,1.34412301024373
P_to_B,5,6,7,4,6,6,5,5,5,7,6,6,6,6,5,5,6,4,6,5,7,4,5,5,5,5,5.48,0.8717797887081347
Operating_assets_Ratio,6,4,5,6,5,4,6,6,6,4,5,4,5,5,7,4,4,7,5,6,6,6,6,6,6,6,5.36,0.9521904571390467
ROE,7,7,4,7,7,7,7,7,7,3,7,7,7,7,2,7,7,2,7,7,5,7,7,7,7,7,6.24,1.6401219466856725
Cash_to_total_assets_ratio,10,8,9,8,8,8,8,10,8,8,8,8,11,8,8,9,9,8,10,8,8,8,9,8,9,8,8.56,0.8698658900466593
P_to_S,8,34,10,30,31,33,29,8,31,33,32,31,8,31,28,32,8,31,8,33,9,31,32,32,8,8,24.04,11.04339923513891
Net_profit_margin,11,10,11,10,9,9,9,12,9,9,9,9,12,10,9,8,10,9,12,9,10,9,10,9,10,9,9.76,1.0908712114635715
EPS,9,9,8,9,10,10,10,9,11,10,10,10,9,9,14,10,11,10,9,12,11,10,8,10,11,10,9.96,1.2741009902410927
DPS,20,17,12,13,20,12,22,11,10,19,15,11,10,20,11,18,14,16,11,26,16,11,11,22,24,11,15.68,4.845272610149677
Operating_profit_margin,12,19,13,11,11,11,12,13,12,12,13,15,14,13,12,11,12,15,14,10,12,13,12,13,12,12,12.68,1.7962924780409975
