Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
DuPont_Ratio,1,1,2,1,1,2,1,1,5,3,1,1,3,1,3,1,2,1,1,1,1,1,1,1,8,1,1.8,1.632993161855452
P_to_B,2,2,3,2,2,1,2,2,7,1,2,4,1,7,1,3,10,2,2,4,3,2,2,2,1,2,2.8,2.1794494717703365
Net_profit_to_Gross_profit,8,4,5,3,7,6,7,3,2,9,7,3,6,3,6,5,1,5,3,6,4,3,9,7,4,3,5.04,2.169485346036397
Current_ratio,5,3,13,10,10,5,11,8,9,2,3,15,10,2,7,6,3,10,4,16,8,18,20,3,2,3,8.12,5.222706833306525
Operating_cash_flow_to_sales,3,5,4,4,14,34,8,33,25,7,5,7,34,11,4,4,12,4,5,11,2,5,5,34,15,4,11.8,10.969655114602888
Quick_Ratio,6,9,10,13,15,7,5,19,10,19,4,16,4,16,5,9,7,14,7,5,11,22,3,8,5,5,9.96,5.396603870336726
Capital,4,6,1,9,5,3,10,6,1,6,10,6,2,6,2,2,4,6,11,2,7,7,6,4,9,6,5.4,2.9154759474226504
Net_profit_to_sale,7,7,7,7,6,4,6,5,4,11,6,5,5,4,10,7,6,3,10,8,5,6,7,5,7,7,6.32,1.9519221295943134
Operating_profit_to_sale,9,8,6,5,8,8,9,4,3,12,8,2,7,5,9,8,5,7,6,7,6,4,8,6,3,8,6.52,2.3115651263447745
Net_working_capital,11,11,8,12,11,9,12,7,6,14,9,8,8,10,11,12,9,9,12,9,10,11,14,9,6,9,9.92,2.1587033144922905
Stock_market_value,13,10,12,15,12,10,13,9,8,15,11,10,9,8,19,10,11,12,15,10,12,9,16,10,11,10,11.6,2.70801280154532
Debt_to_equity_ratio,16,15,11,8,4,11,4,16,13,20,17,14,11,13,15,14,8,11,14,13,16,12,15,13,17,11,12.84,3.8262252939417984
Profit_margin_growth_rate,14,31,21,35,23,22,20,12,28,23,16,12,26,26,13,24,21,18,17,33,17,19,4,36,24,12,21.4,7.697402159170326
Equity_Ratio,10,12,9,6,3,13,3,14,11,18,15,13,13,14,14,13,15,8,13,12,14,14,11,11,16,13,11.8,3.6742346141747673
Cost_to_sales_ratio,12,13,14,22,13,12,17,20,19,4,19,30,16,20,24,23,13,16,9,18,13,13,35,19,19,13,17.32,6.485368146836385
Liquidity_ratios,25,19,22,18,16,29,16,10,15,10,18,19,25,12,16,22,23,15,16,19,15,17,10,23,12,16,17.68,5.0391798274454676
Return_from_market,27,23,25,16,39,24,19,26,37,31,30,33,17,31,17,19,17,40,23,17,18,45,33,20,21,17,25.92,8.371180721180655
Sale_to_current_assets,43,27,15,11,22,14,23,18,16,13,13,24,15,21,43,18,18,17,38,21,26,10,44,12,14,18,21.44,10.25540507894902
Gross_profit_margin,22,22,18,23,32,18,39,38,18,25,21,42,20,44,8,42,22,21,18,3,20,16,19,16,10,18,23.08,10.735144774679721
ROA,38,45,33,24,28,32,22,29,30,38,29,20,41,22,27,26,19,25,19,35,30,23,23,18,28,19,28.16,7.17449185192466
ROE,23,16,20,20,26,27,24,25,33,21,14,17,22,30,25,31,28,30,20,14,21,32,24,24,23,20,23.6,5.315072906367325
Current_debt_to_total_debt_Ratio,34,21,26,43,36,20,27,44,20,33,26,38,33,15,45,27,20,26,43,24,22,39,28,35,20,20,29.8,8.836477427874375
Net_profit_margin,15,37,28,21,19,21,18,32,17,24,31,21,19,18,21,28,16,33,26,32,19,31,12,15,29,21,23.32,6.853952630903329
DPS,33,14,27,44,24,26,21,21,40,28,36,39,12,42,20,40,32,19,33,41,27,44,17,21,27,21,29.12,9.731049960478742
Fixed_asset_turnover,21,28,17,14,20,15,35,15,12,22,20,18,21,9,33,11,14,22,29,23,23,8,31,25,22,22,20.32,7.244078041177268
Current_assets_ratio,28,20,24,39,17,37,14,22,24,17,23,26,24,23,23,16,37,23,24,31,29,20,26,27,35,23,25.16,6.643794096749236
Longterm_debt_to_equity_ratio,24,24,19,25,9,17,25,11,22,16,12,11,14,17,18,30,24,13,8,20,9,15,18,28,26,24,18.2,6.409628174343137
P_to_E,17,42,35,26,21,25,15,41,26,30,27,31,23,41,26,25,25,20,30,34,31,38,32,22,38,25,28.84,7.492663077971677
P_to_S,18,25,34,37,35,40,34,23,23,27,25,36,31,38,35,36,39,24,34,25,35,25,41,17,32,25,30.76,6.941901756723441
Profit_margin_before_interest_and_taxes,19,26,39,34,25,33,31,35,27,42,43,40,44,25,39,29,31,44,40,30,25,40,21,31,39,25,33.28,7.458328677838398
EPS,35,18,31,30,34,23,29,28,42,26,32,44,18,37,22,21,41,29,28,36,37,26,22,26,25,26,29.6,7.262919523166976
Cash_flow_returns_to_sales,44,29,16,17,27,16,32,17,35,5,24,9,29,28,30,32,27,42,25,27,42,24,13,29,18,27,25.48,9.929417572714593
Sales_growth_rate,31,17,23,32,18,19,28,27,14,37,22,25,27,43,29,41,30,27,31,29,24,42,30,14,36,27,27.84,8.065771300171278
Net_return_on_working_capital,26,36,29,36,30,28,36,24,29,29,28,23,37,24,28,38,29,28,27,28,40,21,27,32,30,28,29.72,4.928826770473206
Operating_profit_margin,39,30,30,33,38,30,45,30,36,8,35,45,40,29,12,45,34,37,32,15,38,36,25,33,13,30,31.52,10.120606042459448
Cash_to_total_assets_ratio,30,34,44,31,29,42,33,40,43,35,44,34,28,35,32,44,33,35,35,39,32,37,43,37,43,35,36.48,5.132575701666107
ROI,29,39,38,29,33,43,44,43,21,41,42,32,38,36,36,39,26,36,37,37,41,28,42,30,34,36,35.76,5.994997914928745
Total_asset_turnover,32,32,42,27,37,36,40,31,38,34,38,35,30,33,37,34,35,39,22,38,33,35,36,38,33,38,34.6,4.272001872658765
Average_payment_period,20,40,37,38,40,38,38,34,39,36,41,37,35,39,41,37,36,38,36,43,39,41,39,39,40,39,37.64,4.231626952682227
Operating_assets_Ratio,45,41,32,41,42,41,42,39,41,45,37,41,32,40,31,33,38,41,42,40,43,43,45,42,41,41,39.92,4.019950248448356
Total_income_growth,37,38,40,40,44,35,26,36,45,43,39,28,42,32,34,20,45,32,41,42,45,30,34,43,42,42,37.32,6.574698979167538
Debt_to_total_assets_ratio,41,33,41,28,41,39,43,13,44,32,45,43,36,27,42,43,42,43,39,22,28,33,38,40,37,43,36.52,7.874642849044013
Return_ratio_without_risk,42,44,43,19,31,44,37,42,31,39,33,29,43,19,40,17,43,31,45,44,34,29,40,44,45,44,36.32,8.663717446916191
EPS_growth,40,35,45,45,43,31,30,45,32,44,34,22,39,45,38,15,40,34,44,45,44,34,37,41,31,45,37.32,7.706707035649749
Working_capital_return,36,43,36,42,45,45,41,37,34,40,40,27,45,34,44,35,44,45,21,26,36,27,29,45,44,45,37.64,7.123201527403251
