Features,r_dicho_MinMax,b_dicho_MinMax
Return_from_market,1,2
ROI,2,36
Sales_growth_rate,3,45
Operating_assets_Ratio,4,5
ROA,5,17
P_to_B,6,1
ROE,7,26
Cash_to_total_assets_ratio,8,43
Return_ratio_without_risk,9,35
EPS,10,37
P_to_S,11,27
Net_profit_margin,12,21
DPS,13,34
Profit_margin_before_interest_and_taxes,14,30
DuPont_Ratio,15,3
Equity_Ratio,16,16
Operating_profit_margin,17,29
Gross_profit_margin,18,13
Stock_market_value,19,14
Current_assets_ratio,20,23
Fixed_asset_turnover,21,19
Debt_to_equity_ratio,22,15
Operating_cash_flow_to_sales,23,6
Net_profit_to_sale,24,7
Net_working_capital,25,12
EPS_growth,26,41
Sale_to_current_assets,27,25
Liquidity_ratios,28,20
Net_profit_to_Gross_profit,29,8
Total_income_growth,30,40
Profit_margin_growth_rate,31,31
Operating_profit_to_sale,32,11
P_to_E,33,28
Debt_to_total_assets_ratio,34,42
Current_ratio,35,9
Quick_Ratio,36,10
Working_capital_return,37,44
Capital,38,4
Average_payment_period,39,39
Total_asset_turnover,40,38
Cost_to_sales_ratio,41,18
Net_return_on_working_capital,42,32
Longterm_debt_to_equity_ratio,43,22
Cash_flow_returns_to_sales,44,24
Current_debt_to_total_debt_Ratio,45,33
