Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Return_from_market,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1.16,0.5537749241945383
ROI,3,1,2,4,2,2,5,2,4,3,4,2,2,3,2,2,3,2,2,4,5,1,2,5,3,2,2.8,1.1902380714238083
Sales_growth_rate,6,4,6,3,4,4,3,3,6,2,3,4,7,5,3,5,2,4,7,5,4,4,3,3,5,3,4.2,1.4142135623730951
Operating_assets_Ratio,2,15,4,5,3,5,4,10,2,6,42,5,3,2,4,3,14,5,4,3,3,16,5,4,2,3,6.84,8.350049900050497
ROA,4,2,3,6,5,3,6,4,5,4,5,3,4,6,5,4,4,3,3,6,6,2,4,7,4,4,4.32,1.3453624047073711
P_to_B,5,6,7,2,6,6,2,6,3,5,2,6,6,4,6,6,6,6,5,2,2,6,6,6,6,6,4.92,1.6812693617224654
ROE,7,5,5,7,7,7,8,5,7,7,6,7,5,7,7,7,5,7,6,8,8,5,7,2,7,7,6.36,1.3503086067019396
Cash_to_total_assets_ratio,8,7,8,12,8,10,11,7,8,8,11,12,8,8,9,8,7,8,11,10,10,7,8,11,8,8,8.92,1.6309506430300091
Return_ratio_without_risk,23,45,43,9,37,11,29,16,39,11,9,18,41,18,8,25,15,30,44,29,33,45,24,8,32,8,25.68,12.918720266858221
EPS,13,9,11,10,11,15,9,9,12,13,7,9,11,16,11,14,10,9,13,9,9,10,10,12,10,9,10.88,2.1664102412362563
P_to_S,30,34,9,8,33,32,7,35,31,31,10,35,9,32,34,9,33,27,9,7,7,33,32,10,34,9,22.84,12.078493283518437
Net_profit_margin,9,8,10,13,9,8,13,8,10,12,12,8,10,10,10,10,8,10,10,13,12,8,9,13,9,10,10.08,1.7776388834631176
DPS,12,16,14,11,16,9,10,14,11,10,8,10,15,11,18,11,13,15,22,11,11,14,14,14,20,11,13.2,3.4034296427770228
Profit_margin_before_interest_and_taxes,19,13,13,14,13,12,15,12,15,14,15,13,12,17,12,12,11,13,14,18,15,12,11,15,11,12,13.64,2.118962010041709
DuPont_Ratio,15,12,17,20,10,17,18,17,9,16,27,19,14,9,14,13,16,12,12,14,13,15,13,20,12,12,14.96,3.9841352052024206
Equity_Ratio,16,21,30,33,12,19,23,22,13,24,33,21,24,12,20,18,23,17,20,15,22,30,17,32,16,12,21.32,6.3095166217389425
Operating_profit_margin,17,11,12,16,15,13,12,13,16,9,13,17,13,14,13,16,9,11,15,16,14,9,12,9,13,13,13.12,2.521904042583698
Gross_profit_margin,18,18,18,15,17,22,17,15,17,15,16,29,16,21,15,20,12,14,18,24,27,27,15,16,22,15,18.56,4.416635220013836
Stock_market_value,10,29,16,18,21,21,16,29,18,20,17,22,25,15,28,17,28,19,29,17,19,23,21,23,23,17,20.96,5.0039984012787215
Current_assets_ratio,25,37,27,17,31,30,32,33,25,17,38,27,21,22,17,15,19,24,21,33,37,38,18,17,14,17,25.4,7.831560082980487
Fixed_asset_turnover,31,17,23,24,18,14,19,30,20,22,28,11,17,30,31,29,18,20,26,30,18,22,26,21,33,18,23.12,6.009159675029446
Debt_to_equity_ratio,14,19,28,32,14,18,21,20,14,21,32,20,23,13,19,19,21,16,19,12,20,29,16,33,15,19,20.32,6.11500885799304
Operating_cash_flow_to_sales,11,33,15,19,23,29,14,11,43,33,14,34,36,41,30,26,32,39,16,19,21,35,22,39,19,19,26.16,10.023638727195497
Net_profit_to_sale,27,25,20,23,22,24,20,24,24,25,20,25,27,19,22,22,22,18,30,20,23,18,19,28,18,20,22.6,3.3166247903554
Net_working_capital,20,31,19,26,20,25,27,31,32,30,24,23,31,20,23,21,29,26,34,22,28,32,30,30,17,20,26.04,4.894554797595657
EPS_growth,32,22,22,27,27,34,30,21,23,18,31,38,26,29,21,39,24,29,23,37,31,26,20,19,28,21,27.08,5.943624034767565
Sale_to_current_assets,34,10,29,35,19,20,26,18,27,32,25,15,22,26,33,23,27,23,24,28,17,11,28,35,29,23,24.64,6.963476143421475
Liquidity_ratios,37,20,24,42,38,16,42,34,28,44,43,14,20,34,42,34,30,33,28,38,41,24,40,24,40,24,32.4,9.073771725877465
Net_profit_to_Gross_profit,21,27,21,22,25,23,24,28,26,27,22,26,28,24,24,24,25,21,31,25,26,25,25,27,21,25,24.72,2.5579940057266226
Total_income_growth,26,26,31,21,24,31,28,23,33,19,29,24,18,31,16,30,20,25,17,26,29,21,29,18,25,26,24.8,4.9916597106239795
Profit_margin_growth_rate,28,23,25,28,30,27,31,19,29,26,26,30,19,36,25,31,17,28,25,23,24,31,23,26,26,26,26.24,4.284468072779474
Operating_profit_to_sale,22,28,33,25,28,28,22,25,30,28,21,28,30,25,26,27,26,22,33,21,25,28,27,29,24,28,26.44,3.330165161069343
P_to_E,33,43,32,31,29,39,33,44,22,35,36,37,32,35,27,33,31,36,35,31,30,44,34,31,31,31,33.76,5.060303021229724
Debt_to_total_assets_ratio,42,24,37,34,32,38,37,27,19,45,34,33,35,33,38,37,44,38,36,32,34,13,33,45,42,33,34.48,7.556013058044125
Current_ratio,24,32,34,41,26,41,34,42,21,23,35,40,29,27,29,35,42,34,27,35,32,19,37,25,39,34,32.12,6.8515205125091265
Quick_Ratio,36,40,26,29,35,37,41,37,34,29,45,31,33,23,35,28,36,35,32,41,42,37,35,22,37,35,34.24,5.753839297952862
Working_capital_return,35,38,35,37,36,36,36,26,37,36,23,39,34,38,32,36,34,31,38,34,36,39,38,36,35,36,35.0,3.7416573867739413
Capital,29,36,36,39,34,35,35,38,35,37,39,36,38,37,36,32,37,32,37,36,38,36,36,38,30,36,35.68,2.577466456296441
Average_payment_period,39,14,38,36,40,26,38,39,41,34,37,16,39,28,37,40,35,40,8,39,40,17,39,34,27,39,32.84,9.524879701777515
Total_asset_turnover,38,42,40,38,41,40,39,43,36,38,19,41,40,39,39,41,43,41,39,40,39,42,41,37,38,39,38.96,4.522904671410472
Cost_to_sales_ratio,43,35,39,30,39,33,25,32,44,40,18,32,37,42,40,38,40,37,42,27,16,20,31,43,43,40,34.64,8.149028571962836
Net_return_on_working_capital,40,39,41,40,42,42,40,40,40,42,41,42,42,40,41,42,39,42,40,42,43,40,42,40,41,40,40.92,1.1150485789118487
Longterm_debt_to_equity_ratio,44,41,42,45,43,45,45,41,42,41,44,43,43,43,44,43,41,43,43,43,35,41,43,41,44,43,42.52,2.0436894741292444
Cash_flow_returns_to_sales,45,30,45,44,44,44,43,36,38,39,30,44,45,44,45,44,38,44,41,45,44,34,45,42,45,44,41.52,4.655820729653008
Current_debt_to_total_debt_Ratio,41,44,44,43,45,43,44,45,45,43,40,45,44,45,43,45,45,45,45,44,45,43,44,44,36,45,43.6,2.041241452319315
