Run_sample,Scaling,Alg,Acc Cv_mean,Acc Cv_std,Acc Te_mean,Acc Te_std,Sp_mean,Sp_std,Se_mean,Se_std,MCC_mean,MCC_std,F1_mean,F1_std,AUC-ROC_mean,AUC-ROC_std,AUPR_mean,AUPR_std
SKF_yearSort_NoneGroup,MinMax,LR,46.21,2.48,45.96,2.48,90.79,3.28,19.69,5.7,13.85,2.64,30.8,7.54,64.32,1.99,74.28,1.48
SKF_companySort_NoneGroup,MinMax,LR,55.3,1.22,45.79,2.43,91.13,3.05,19.23,5.51,13.75,2.69,30.28,7.25,64.03,2.14,74.15,1.67
SGKF_companySort_companyGroup,MinMax,LR,55.21,1.34,45.76,2.33,90.45,3.73,19.32,5.54,12.99,2.75,30.05,7.28,63.64,1.97,73.89,1.64
SGKF_yearSort_companyGroup,MinMax,LR,55.22,1.34,45.79,2.32,90.45,3.74,19.37,5.52,13.03,2.79,30.11,7.28,63.64,1.98,73.88,1.65
SKF_companySort_NoneGroup,MinMax,HGB,58.43,2.59,54.37,4.36,73.37,4.82,43.24,9.22,16.71,5.24,53.38,8.67,63.63,3.38,73.56,3.05
SKF_companySort_NoneGroup,MinMax,SVM,54.62,1.94,44.67,3.65,93.1,3.44,16.3,7.61,13.31,4.47,25.84,10.66,61.24,3.13,72.84,2.86
SKF_companySort_NoneGroup,MinMax,RF,59.83,2.03,62.88,3.47,42.99,4.16,74.53,6.94,18.67,5.51,71.38,4.12,62.9,3.12,72.75,2.33
SKF_yearSort_NoneGroup,MinMax,HGB,54.93,4.05,55.16,4.38,68.87,4.78,47.12,8.86,15.78,5.71,56.3,7.77,62.68,3.68,72.44,3.16
SKF_yearSort_NoneGroup,MinMax,SVM,44.2,3.23,43.93,3.38,92.92,3.54,15.22,7.25,11.8,4.26,24.47,10.32,60.58,3.76,72.14,2.85
SKF_yearSort_NoneGroup,MinMax,RF,65.14,2.59,64.45,3.01,33.13,2.73,82.81,5.3,18.66,5.75,74.5,3.03,62.03,3.41,71.87,2.62
SGKF_yearSort_companyGroup,MinMax,SVM,54.27,1.79,43.33,3.1,92.15,4.54,14.6,7.31,10.11,3.33,23.17,10.18,59.66,2.96,71.61,2.48
SGKF_companySort_companyGroup,MinMax,SVM,54.25,1.8,43.33,3.09,92.14,4.55,14.6,7.31,10.1,3.35,23.17,10.17,59.56,3.1,71.56,2.48
SGKF_yearSort_companyGroup,MinMax,HGB,58.11,2.39,52.08,4.45,72.6,6.25,40.07,10.09,12.89,5.22,49.95,9.54,61.02,3.58,71.53,3.04
SGKF_companySort_companyGroup,MinMax,HGB,57.8,2.3,52.11,4.38,72.49,6.32,40.12,9.85,12.81,5.1,50.01,9.33,60.99,3.4,71.44,2.9
SGKF_yearSort_companyGroup,MinMax,RF,58.75,1.64,61.74,3.25,40.2,4.85,74.08,6.95,15.38,5.1,70.51,4.01,60.58,3.03,70.92,2.23
SGKF_companySort_companyGroup,MinMax,RF,58.72,1.64,61.7,3.28,40.48,4.83,73.82,7.06,15.34,5.1,70.43,4.1,60.49,3.03,70.79,2.23
SGKF_yearSort_yearGroup,MinMax,LR,43.86,1.7,40.96,1.88,81.77,3.39,19.98,4.26,2.95,2.76,26.06,5.93,58.61,1.92,69.97,0.88
SGKF_companySort_yearGroup,MinMax,LR,51.86,1.03,40.28,1.56,82.87,3.8,18.33,4.08,2.15,2.71,23.5,5.41,57.76,1.69,69.51,0.8
SGKF_companySort_yearGroup,MinMax,SVM,51.38,0.99,38.55,1.31,83.57,5.49,15.02,4.12,-1.78,2.78,18.07,5.14,54.97,2.21,67.08,1.54
SGKF_yearSort_yearGroup,MinMax,SVM,43.52,2.06,39.38,1.78,81.55,5.18,17.72,4.71,-0.78,3.04,22.13,6.38,54.57,2.43,66.81,1.77
SGKF_yearSort_yearGroup,MinMax,RF,61.59,2.45,58.5,2.58,33.38,2.94,76.41,5.5,11.14,4.42,69.42,3.15,55.88,2.21,66.75,1.15
SGKF_companySort_yearGroup,MinMax,RF,56.02,1.44,57.15,3.05,37.4,4.65,71.94,7.14,10.31,4.36,67.18,4.33,55.82,2.1,66.61,1.24
SGKF_companySort_yearGroup,MinMax,HGB,53.57,1.52,44.84,3.29,67.78,8.0,36.48,9.15,4.8,4.06,41.12,9.29,55.35,2.38,66.53,1.61
SGKF_yearSort_yearGroup,MinMax,HGB,50.61,3.34,46.62,3.15,63.67,6.92,41.1,8.48,5.06,3.8,46.43,7.72,55.18,1.8,66.28,1.34
