Run_sample,Scaling,Alg,Acc Cv_mean,Acc Cv_std,Acc Te_mean,Acc Te_std,Sp_mean,Sp_std,Se_mean,Se_std,MCC_mean,MCC_std,F1_mean,F1_std,AUC-ROC_mean,AUC-ROC_std,AUPR_mean,AUPR_std
SGKF_yearSort_companyGroup,MinMax,HGB,77.2,0.95,75.37,1.62,83.6,2.9,70.24,3.86,52.68,2.22,77.63,2.09,84.75,1.14,90.81,0.66
SKF_companySort_NoneGroup,MinMax,HGB,77.49,1.15,75.49,1.86,84.6,2.46,69.74,4.08,53.23,2.52,77.57,2.37,84.82,1.4,90.77,0.77
SGKF_companySort_companyGroup,MinMax,HGB,77.26,0.94,75.41,1.56,83.63,2.15,70.25,3.41,52.69,2.12,77.67,1.92,84.64,1.14,90.76,0.62
SKF_yearSort_NoneGroup,MinMax,HGB,76.06,1.72,75.49,1.61,83.07,2.54,70.71,3.7,52.65,2.14,77.84,2.08,84.73,1.09,90.72,0.58
SGKF_companySort_companyGroup,MinMax,RF,76.28,0.98,76.73,1.79,74.08,2.81,78.46,4.12,52.14,2.79,80.4,2.09,83.85,1.2,89.62,0.59
SGKF_yearSort_companyGroup,MinMax,RF,76.37,1.0,76.61,1.75,73.93,2.94,78.38,4.08,51.91,2.74,80.31,2.06,83.84,1.2,89.58,0.61
SKF_yearSort_NoneGroup,MinMax,RF,77.14,1.83,76.69,1.78,72.57,3.14,79.29,4.11,51.72,2.84,80.58,2.07,83.73,1.11,89.48,0.55
SKF_companySort_NoneGroup,MinMax,RF,76.49,1.22,76.59,1.95,74.25,3.21,78.07,4.24,51.89,3.19,80.26,2.22,83.45,1.4,89.31,0.7
SGKF_yearSort_companyGroup,MinMax,SVM,76.48,0.62,72.93,0.81,90.54,1.47,61.88,1.15,51.84,1.64,73.64,0.89,82.45,1.86,89.0,1.85
SGKF_companySort_companyGroup,MinMax,SVM,76.48,0.62,72.93,0.81,90.54,1.47,61.88,1.15,51.83,1.63,73.64,0.88,82.46,1.86,89.0,1.87
SKF_companySort_NoneGroup,MinMax,SVM,76.43,0.63,72.8,0.81,90.3,1.49,61.76,1.13,51.54,1.68,73.47,0.88,82.38,2.0,88.72,1.86
SKF_yearSort_NoneGroup,MinMax,SVM,73.18,0.6,72.82,0.66,89.7,1.33,62.17,0.86,51.27,1.45,73.66,0.67,81.95,1.52,88.62,1.47
SGKF_companySort_companyGroup,MinMax,LR,75.29,0.53,72.38,0.84,88.65,0.92,62.12,1.42,50.05,1.3,73.29,1.03,81.33,0.94,88.3,0.57
SGKF_yearSort_companyGroup,MinMax,LR,75.29,0.53,72.38,0.84,88.64,0.91,62.12,1.42,50.05,1.3,73.3,1.03,81.33,0.94,88.3,0.57
SKF_yearSort_NoneGroup,MinMax,LR,72.29,0.64,72.49,0.82,88.63,0.91,62.3,1.46,50.27,1.24,73.45,1.03,81.26,0.96,88.2,0.56
SKF_companySort_NoneGroup,MinMax,LR,75.37,0.52,72.18,0.76,88.73,0.98,61.74,1.34,49.85,1.21,73.05,0.95,81.22,0.99,88.05,0.53
SGKF_yearSort_yearGroup,MinMax,LR,64.44,1.12,64.86,3.14,81.8,6.62,48.48,5.53,31.43,8.39,53.45,5.27,76.57,5.26,84.2,5.13
SGKF_companySort_yearGroup,MinMax,LR,67.87,1.27,64.78,3.14,82.1,6.55,48.13,5.7,31.33,8.52,53.16,5.44,76.5,5.23,84.2,5.14
SGKF_companySort_yearGroup,MinMax,RF,67.66,2.21,68.08,3.63,56.69,9.12,71.71,5.13,30.37,8.92,69.62,4.4,72.75,5.11,81.49,3.75
SGKF_yearSort_yearGroup,MinMax,RF,68.99,2.97,67.44,3.33,54.52,9.45,73.03,5.41,29.69,8.88,69.95,4.32,72.53,5.25,81.33,3.81
SGKF_companySort_yearGroup,MinMax,HGB,67.82,1.88,64.76,4.52,66.82,9.01,60.85,4.9,28.75,7.53,62.94,5.1,71.87,4.28,80.44,3.25
SGKF_yearSort_yearGroup,MinMax,HGB,66.66,2.65,64.63,4.48,65.38,7.9,61.25,3.94,27.88,7.71,62.96,4.74,71.07,4.36,79.86,3.07
SGKF_yearSort_yearGroup,MinMax,SVM,63.48,1.51,58.25,5.7,81.12,5.98,37.94,4.12,20.76,5.22,44.13,4.06,69.52,3.06,79.37,2.58
SGKF_companySort_yearGroup,MinMax,SVM,67.1,1.61,57.96,5.56,81.52,5.42,36.89,3.69,19.95,5.5,42.87,3.93,69.1,2.77,79.11,2.81
